step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,3769679.1304892716,0,599.96306748772554,0
1,1.6935000000000002e-06,1.6935000000000002,3767168.1339186933,3889.7661576911632,599.56342997143122,0.61907551146811757
2,2.8225000000000005e-06,2.8225000000000007,3765530.7137422194,4098.4000443264886,599.30282645642706,0.65228062582260371
3,3.9515000000000002e-06,3.9515000000000002,3758903.8985648248,6715.366504515805,598.24813606398823,1.0687837738674331
4,5.0805000000000007e-06,5.0805000000000007,3748996.2181800567,9862.5821158280087,596.6712797561778,1.5696786953837516
5,6.2095000000000004e-06,6.2095000000000002,3744254.8537622383,10096.657553838391,595.91666817208204,1.6069329583995045
6,7.338500000000001e-06,7.3385000000000007,3731806.0381998685,12507.160325299075,593.93537763969152,1.9905763898141857
7,8.4675000000000015e-06,8.4675000000000011,3714268.9006800354,15771.578675064091,591.14425551572776,2.5101247064991759
8,9.5965000000000004e-06,9.5965000000000007,3706594.8495400064,15995.566419372881,589.9228923432521,2.5457734631979232
9,1.0725500000000001e-05,10.7255,3688042.5574847749,18402.806921785821,586.97020335697755,2.9288976883679601
10,1.1854500000000001e-05,11.854500000000002,3663448.7361670071,21606.291081172356,583.05597512473594,3.4387480274509126
11,1.2983500000000002e-05,12.983500000000001,3653479.6782682575,21739.158863040095,581.4693502821807,3.4598945917128185
12,1.4112500000000001e-05,14.112500000000001,3627049.3613848044,24447.947589619034,577.26283470269391,3.8910117073394574
13,1.5241500000000001e-05,15.241500000000002,3597599.6143192714,27287.803235659609,572.57576188440828,4.3429887710742427
14,1.6370500000000002e-05,16.370500000000003,3585635.7379019544,27357.613964675656,570.67165181405176,4.354099493677996
15,1.7499500000000001e-05,17.499500000000001,3548074.6332702152,30678.252757696093,564.69361634391862,4.8825955718099037
16,1.8628500000000003e-05,18.628500000000003,3519381.0040614326,32616.2392051813,560.12688342009483,5.1910356945722755
17,1.9757500000000002e-05,19.7575,3501732.5739895869,33099.674786290896,557.3180485363489,5.2679768569723713
18,2.0886500000000001e-05,20.886500000000002,3452069.5093442481,36922.648364602697,549.41392630895086,5.8764219992704056
19,2.2015500000000003e-05,22.015500000000003,3432395.5600241991,37442.379708599758,546.2827200245257,5.959139811747332
20,2.3144500000000002e-05,23.144500000000001,3396246.1205340689,39452.98197681889,540.52935803967011,6.2791371013261834
21,2.4273500000000004e-05,24.273500000000006,3347642.8563194983,42432.249928159436,532.79390828951978,6.7533023225772952
22,2.5402500000000003e-05,25.402500000000003,3331972.9485979928,42416.821981420326,530.29996501784831,6.7508468885920081
23,2.6531500000000002e-05,26.531500000000001,3268803.2449409701,46204.87213602892,520.24619442718301,7.353733795377984
24,2.7660500000000004e-05,27.660500000000003,3247098.9872732051,46603.745704075438,516.79185453321793,7.4172164954012887
25,2.8789500000000003e-05,28.789500000000004,3197078.7468364332,49025.311533262473,508.83088601306065,7.8026206671388296
26,2.9918500000000002e-05,29.918500000000002,3149810.9494683798,51125.743891347352,501.30798241286885,8.136914859558205
27,3.1047500000000004e-05,31.047500000000003,3121422.3885460524,51873.198664456177,496.78980261481502,8.2558759814361053
28,3.2176500000000006e-05,32.176500000000004,3050631.9961990872,55244.560930894717,485.52316174938085,8.7924449510932945
29,3.3305500000000002e-05,33.305500000000002,3035744.7495154045,55110.928907250804,483.15378285064429,8.7711767539749914
30,3.4434500000000004e-05,34.434500000000007,2952190.3910689834,58911.93338731119,469.85569368702431,9.3761254056910417
31,3.5563500000000006e-05,35.563500000000005,2941363.4646785799,58578.834265191355,468.13253483349956,9.3231110338661001
32,3.6692500000000001e-05,36.692500000000003,2852091.621073748,62360.417004522125,453.92447964486394,9.9249686195415823
33,3.7821500000000004e-05,37.8215,2841982.4543276588,62043.702267317691,452.3155557866836,9.8745619035654464
34,3.8950500000000006e-05,38.950500000000005,2747770.2881514318,65762.219006779254,437.32122384034204,10.466382223620711
35,4.0079500000000001e-05,40.079500000000003,2739998.8575196825,65400.761005862725,436.08436224040332,10.40885439605473
36,4.1208500000000004e-05,41.208500000000001,2639064.77276571,69133.292355181766,420.0202037253523,11.002905210544318
37,4.2337500000000006e-05,42.337500000000006,2634489.1157428417,68714.022014780261,419.29196529226971,10.936176263377597
38,4.3466500000000001e-05,43.466500000000003,2530184.4592994601,72312.267091739166,402.6913636318036,11.508854753831685
39,4.4595500000000004e-05,44.595500000000001,2519295.5760185854,72222.43402640344,400.95834403290166,11.494557377430406
40,4.5724500000000006e-05,45.724500000000006,2430532.1989004584,75005.629816966713,386.83121379902173,11.937516745091106
41,4.6853500000000008e-05,46.853500000000011,2385687.613658403,76168.307744954844,379.69397638684273,12.122562684554261
42,4.7982500000000004e-05,47.982500000000002,2345081.6834554076,77172.588278352428,373.23134187619155,12.282398895695451
43,4.9111500000000006e-05,49.111500000000007,2241617.7704568086,80172.853759547812,356.76454869083472,12.759905977615681
44,5.0240500000000008e-05,50.240500000000011,2247872.8894134033,79732.363122748066,357.76008179240461,12.689799715383304
45,5.1369500000000003e-05,51.369500000000002,2132292.6100319475,82900.253930600287,339.36490900490361,13.193985196628363
46,5.2498500000000006e-05,52.498500000000007,2093249.1402196484,83834.813246578531,333.15094778881701,13.34272493137888
