step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,3769677.4400023534,0,599.96279843837635,0
1,1.6935000000000002e-06,1.6935000000000002,3769178.2563427594,2839.1646661173145,599.88335089144118,0.45186709086442123
2,2.8225000000000005e-06,2.8225000000000007,3767786.218961277,3630.5015082460231,599.66180126120958,0.5778122609399361
3,3.9515000000000002e-06,3.9515000000000002,3757765.3615758484,8214.5459892271974,598.06693227429969,1.3073855994412118
4,5.0805000000000007e-06,5.0805000000000007,3753556.8603726467,9018.9507964186705,597.39712850480203,1.4354106007526177
5,6.2095000000000004e-06,6.2095000000000002,3748518.9485988524,9441.8042986040527,596.5953199431417,1.5027098258291409
6,7.338500000000001e-06,7.3385000000000007,3729768.9600766767,13875.824490852377,593.61116658692117,2.2084060571947379
7,8.4675000000000015e-06,8.4675000000000011,3720276.9820067002,15070.979391228997,592.10047135736454,2.3986208673501785
8,9.5965000000000004e-06,9.5965000000000007,3712350.0422344338,15386.380060034287,590.83885970901667,2.4488184428450306
9,1.0725500000000001e-05,10.7255,3685394.8459433559,19632.025830653824,586.54880697727924,3.124533953856329
10,1.1854500000000001e-05,11.854500000000002,3671284.6903230068,20873.208767242468,584.30310596250479,3.3220743534957262
11,1.2983500000000002e-05,12.983500000000001,3659446.6005882816,21362.356423560399,582.41901546445786,3.3999246209005403
12,1.4112500000000001e-05,14.112500000000001,3624296.2218614416,25500.134556722602,576.82465893852907,4.0584724642108601
13,1.5241500000000001e-05,15.241500000000002,3608139.6192315188,26392.723866533197,574.25325576640535,4.200532465018199
14,1.6370500000000002e-05,16.370500000000003,3589488.5455114432,27422.954906445222,571.28484518988398,4.3644988275469014
15,1.7499500000000001e-05,17.499500000000001,3547157.2317430172,31364.276078019091,564.54760735606499,4.9917795743156228
16,1.8628500000000003e-05,18.628500000000003,3532372.1300248755,31638.02111836828,562.19448533350624,5.0353474506340872
17,1.9757500000000002e-05,19.7575,3500833.7352728266,33726.944957787957,557.17499391153422,5.3678100054202291
18,2.0886500000000001e-05,20.886500000000002,3457556.4851646619,36886.442072522281,550.2872056333955,5.8706595889147781
19,2.2015500000000003e-05,22.015500000000003,3443114.0956189628,36876.683846546781,547.98862794713875,5.8691065190149692
20,2.3144500000000002e-05,23.144500000000001,3392616.3362443154,40254.682565696858,539.95165992759848,6.4067317129257955
21,2.4273500000000004e-05,24.273500000000006,3361862.7505895654,41664.264406539718,535.0570747528451,6.6310736305885101
22,2.5402500000000003e-05,25.402500000000003,3332316.9730665507,42834.458135323788,530.35471821256385,6.8173157468996317
23,2.6531500000000002e-05,26.531500000000001,3275224.6043013874,46136.698944165786,521.26818551076281,7.3428836949066136
24,2.7660500000000004e-05,27.660500000000003,3256819.4650976639,46278.572926629611,518.33891662819576,7.365463640511865
25,2.8789500000000003e-05,28.789500000000004,3195086.2949971273,49551.743774363356,508.51377745396258,7.88640496051298
26,2.9918500000000002e-05,29.918500000000002,3165628.3034355748,50435.319707825511,503.82539248338213,8.0270304379205175
27,3.1047500000000004e-05,31.047500000000003,3116818.0954373539,52537.870434221593,496.05700660712171,8.3616617791279086
28,3.2176500000000006e-05,32.176500000000004,3067598.5242211567,54571.498942252947,488.22346855120037,8.6853238085936955
29,3.3305500000000002e-05,33.305500000000002,3032416.4232294271,55657.218535951732,482.62406327000832,8.8581214487425814
30,3.4434500000000004e-05,34.434500000000007,2967783.3716829792,58383.868197108473,472.33739362927787,9.2920812203955183
31,3.5563500000000006e-05,35.563500000000005,2939730.4284726968,58987.683903510588,467.87262904908522,9.3881814747859398
32,3.6692500000000001e-05,36.692500000000003,2866634.4884490338,61927.700024755832,456.2390488743705,9.8560995732519814
33,3.7821500000000004e-05,37.8215,2840442.3424266535,62406.309982403531,452.07043936472394,9.9322727138246147
34,3.8950500000000006e-05,38.950500000000005,2763252.2930750265,65315.304615225534,439.78526145290516,10.39525358906603
35,4.0079500000000001e-05,40.079500000000003,2736228.1326306192,65825.500175665904,435.4842327352693,10.476453734453655
36,4.1208500000000004e-05,41.208500000000001,2657835.9663703246,68579.763025718305,423.00773197526172,10.914808281613865
37,4.2337500000000006e-05,42.337500000000006,2627022.795706532,69254.161295167243,418.1036635517849,11.022142099809285
38,4.3466500000000001e-05,43.466500000000003,2552638.2933829352,71667.186096483667,406.26500231755392,11.406186924742132
39,4.4595500000000004e-05,44.595500000000001,2510832.0142991552,72766.063331827318,399.61132634909103,11.581078668598229
40,4.5724500000000006e-05,45.724500000000006,2450654.8814000394,74509.900557632602,390.03383818709881,11.858618983032798
41,4.6853500000000008e-05,46.853500000000011,2386411.4184595505,76359.259460488,379.80917349877905,12.152953593973239
42,4.7982500000000004e-05,47.982500000000002,2349679.6948679485,77221.380046486709,373.96313812089039,12.290164346776216
43,4.9111500000000006e-05,49.111500000000007,2262125.32717006,79718.29643986201,360.02842771248606,12.687560933269083
44,5.0240500000000008e-05,50.240500000000011,2235579.2309305365,80277.606279388056,355.80348527617269,12.776577858949587
45,5.1369500000000003e-05,51.369500000000002,2157559.4012748105,82356.384302710576,343.38624372727628,13.107425656952165
46,5.2498500000000006e-05,52.498500000000007,2096926.5987699591,83903.258739976431,333.7362334951145,13.35361836998552
47,5.3627500000000008e-05,53.627500000000005,2064178.063384773,84653.530363663842,328.52414220954228,13.473027807556955
48,5.4756500000000003e-05,54.756500000000003,1971189.898118325,86965.615388015634,313.72461605834104,13.841007568031287
49,5.5885500000000006e-05,55.885500000000008,1929679.547995751,87969.57449276399,307.11803864685811,14.000792622214101
50,5.7014500000000008e-05,57.014500000000005,1887872.0042540764,88949.697982355836,300.46416140183993,14.156784120423122
51,5.8143500000000003e-05,58.143500000000003,1792671.6972128719,91131.022870798915,285.31256195236608,14.503952758908214
52,5.9272500000000006e-05,59.272500000000008,1751209.8581245458,92125.220179769705,278.7137053117782,14.662184175039577
53,6.0401500000000008e-05,60.401500000000006,1718073.4649775634,92924.938930115415,273.43988454619955,14.789463367240369
54,6.153050000000001e-05,61.530500000000011,1624848.9228276499,94900.234484442364,258.6027378455621,15.103841418778948
55,6.2659500000000005e-05,62.659500000000008,1560878.0089880349,96289.739150459311,248.42145069388161,15.324987954824799
56,6.3788500000000001e-05,63.788499999999999,1543269.590779566,96855.179361903909,245.61898389597445,15.414980559499133
57,6.491750000000001e-05,64.917500000000004,1481776.1297340323,98142.409408511026,235.83199560274886,15.619849584313068
58,6.6046500000000005e-05,66.046500000000009,1385704.1802564727,99967.98203573162,220.54166995092041,15.910398491908483
59,6.7175500000000001e-05,67.1755,1336372.0796496021,101048.47806499168,212.69022228623027,16.082364775956385
60,6.830450000000001e-05,68.304500000000004,1322614.2986507474,101625.46980334216,210.50060343428677,16.174195863238051
61,6.9433500000000005e-05,69.433500000000009,1272631.2270621317,102672.30086906532,202.54555052004253,16.340804201930048
62,7.0562500000000001e-05,70.5625,1179143.9893122646,104274.76927139339,187.66659451614393,16.595844969309134
63,7.169150000000001e-05,71.691500000000005,1104440.7278246656,105601.87710672981,175.77720118530613,16.80706074131891
64,7.2820500000000005e-05,72.82050000000001,1079034.2891293308,106356.77560186156,171.73364088058239,16.92720656835176
65,7.3949500000000014e-05,73.949500000000015,1069765.0111829008,106949.54621733996,170.25838947651536,17.021548941924774
66,7.507850000000001e-05,75.078500000000005,1031067.5521262987,107805.38555860289,164.0994975825609,17.157760003579281
67,7.6207500000000005e-05,76.20750000000001,951119.56207242562,109048.96813581244,151.37537977522533,17.355682317885137
68,7.7336500000000014e-05,77.336500000000015,862276.24954527826,110352.2141964378,137.23552742587171,17.563100370498702
69,7.846550000000001e-05,78.465500000000006,803862.60167607502,111347.12248970038,127.93870662345866,17.721444943294564
70,7.9594500000000005e-05,79.594500000000011,783437.20839651325,112039.8218930607,124.68790431842042,17.831691477416165
71,8.0723500000000014e-05,80.723500000000016,783198.50082578324,112619.99810049686,124.64991282858529,17.924029388693938
72,8.185250000000001e-05,81.852500000000006,783438.85246030497,113175.77889612288,124.68816597929964,18.012484649593368
73,8.2981500000000005e-05,82.981500000000011,767020.99867736385,113769.46527221653,122.07518339478459,18.106972770994986
74,8.4110500000000014e-05,84.110500000000016,719984.9907919541,114517.96655195233,114.58917023651226,18.226100449575547
75,8.5239500000000009e-05,85.239500000000007,643310.12232223153,115438.81781120924,102.38598590863499,18.372658479338682
76,8.6368500000000005e-05,86.368500000000012,557286.52609381126,116397.2250656581,88.69490534634059,18.52519373137935
77,8.7497500000000014e-05,87.497500000000016,490809.31721128011,117242.70331549455,78.114728949733305,18.659755774117507
78,8.8626500000000009e-05,88.626500000000007,451315.63807180081,117914.95811503445,71.829114693799895,18.766748448481533
79,8.9755500000000005e-05,89.755499999999998,432773.5385412504,118438.94352684142,68.87804789821088,18.850143316878654
80,9.0884500000000014e-05,90.884500000000017,445899.50374717126,118890.74456007236,70.967110143585415,18.922049684611384
81,9.2013500000000009e-05,92.013500000000008,474629.63430732419,119348.14671554387,75.539652437909282,18.994847498635561
82,9.3142500000000005e-05,93.142499999999998,514793.26174630551,119834.29461250213,81.931892277324437,19.072220339510199
83,9.4271500000000014e-05,94.271500000000017,575337.7817193137,120275.19372634689,91.56785190815468,19.142391612883429
84,9.5400500000000009e-05,95.400500000000008,668617.85238976218,120531.34246628534,106.41383624731789,19.183158951011393
85,9.6529500000000005e-05,96.529499999999999,792352.91738022142,120536.24753107673,126.1068834743464,19.18393961631913
86,9.7658500000000014e-05,97.658500000000018,916578.67079608876,120456.31528086119,145.8780261897966,19.171218003584869
87,9.8787500000000009e-05,98.787500000000009,993062.52069360635,120647.65256408851,158.05080896768507,19.201670278008269
88,9.9916500000000005e-05,99.916499999999999,983292.46287839522,121258.16180832995,156.49585597210063,19.298835842032592
89,0.00010104550000000001,101.04550000000002,929648.8481267005,121928.72512182707,147.95820951905108,19.405559308031737
90,0.00010217450000000001,102.17450000000001,915005.44108864211,122220.20782594726,145.62763890523743,19.451950221218258
91,0.0001033035,103.3035,946422.9159410171,122109.48132143472,150.62788532745824,19.434327550693801
92,0.00010443250000000001,104.43250000000002,978479.27159815014,121981.48999563573,155.72981278780281,19.413957098520005
93,0.00010556150000000001,105.56150000000001,965466.97095213493,122221.84430364461,153.65884081899162,19.452210674733053
94,0.0001066905,106.6905,908951.05953091546,122805.37803596619,144.66405415296083,19.545082952692894
95,0.00010781950000000001,107.81950000000002,856622.84283832577,123323.57092795787,136.33575980315135,19.627555912928454
96,0.00010894850000000001,108.94850000000001,852400.66994372813,123421.88351582063,135.66378011638753,19.643202847254969
97,0.00011007750000000002,110.07750000000001,893945.66461865942,123125.22415413464,142.27587137962931,19.595988043428157
98,0.00011120650000000001,111.20650000000002,935851.57470063749,122805.46569267954,148.94540411394061,19.545096903692119
99,0.00011233550000000001,112.33550000000001,933095.96729072765,122838.98387653325,148.5068355734328,19.550431488335899
100,0.00011346450000000002,113.46450000000002,885918.89042552526,123222.80332823648,140.99837058970954,19.61151825132929
101,0.00011459350000000001,114.59350000000002,839947.07391852385,123578.800792853,133.68172874970668,19.66817700755119
102,0.00011572250000000001,115.72250000000001,840658.32228255889,123541.33074639985,133.79492744260889,19.662213464440288
103,0.00011685150000000002,116.85150000000002,890514.22159856989,123083.60973073271,141.72974026104387,19.589364902239822
104,0.00011798050000000001,117.98050000000001,946373.99188147299,122546.84144328785,150.62009882154567,19.503935575998
105,0.00011910950000000001,119.10950000000001,959341.14482240216,122344.5823476839,152.68388530992314,19.471745041147337
106,0.00012023850000000002,120.23850000000002,923686.30553658516,122531.81511436211,147.00924139243827,19.501544061472945
107,0.00012136750000000001,121.36750000000001,883608.22360417328,122734.4410260592,140.63061654325296,19.533792976918036
108,0.00012249650000000002,122.49650000000003,887652.82538764644,122554.63434638419,141.27433490993099,19.505175855046819
109,0.00012362550000000002,123.62550000000002,933928.0239814102,121965.47770893293,148.63926150868761,19.411408663941053
110,0.00012475450000000001,124.75450000000001,940866.63415466924,121350.70660959161,149.74357561594951,19.313564804610841
111,0.00012588350000000001,125.88350000000001,889634.76862804464,121061.63590903203,141.58977097356794,19.267557773713747
112,0.0001270125,127.0125,795014.29006668134,121065.76341665628,126.53045409280625,19.268214686954796
113,0.00012814150000000003,128.14150000000004,687757.45460471604,121092.35838552372,109.45999854864039,19.272447407711425
114,0.00012927050000000002,129.27050000000003,595555.60715392837,120953.75313887892,94.785618764642649,19.250387697569433
115,0.00013039950000000002,130.39950000000002,528621.38530439325,120635.56161146169,84.132706495279592,19.19974594313102
116,0.00013152850000000001,131.52850000000001,483087.494410933,120214.2123906989,76.885762681378353,19.132686131878703
117,0.00013265750000000001,132.6575,451236.91567516536,119764.81262267634,71.816585635243328,19.061161937373562
118,0.0001337865,133.78650000000002,428651.03795284173,119320.29824053272,68.221931551666401,18.990415276179966
119,0.00013491550000000003,134.91550000000004,416166.87433613394,118868.66728774982,66.235015201699369,18.918535977591265
120,0.00013604450000000002,136.04450000000003,419213.41720234323,118365.20017331661,66.719887558197925,18.838406697645006
121,0.00013717350000000002,137.17350000000002,445340.51363626681,117754.81825778914,70.878144104295487,18.74126139861491
122,0.00013830250000000001,138.30250000000001,496660.07828938914,117012.4070488392,79.045906496164022,18.623102984903699
123,0.00013943150000000001,139.4315,561503.07493710448,116190.68483648656,89.365989937539112,18.492321832959366
124,0.0001405605,140.56049999999999,618364.58621603088,115413.41665587545,98.415780529255812,18.368615759907065
125,0.00014168950000000003,141.68950000000004,653617.15102681331,114757.77545847044,104.02640047555924,18.264267222445369
126,0.00014281850000000002,142.81850000000003,672298.65803035349,114160.53697419816,106.99965465957852,18.169213765468722
127,0.00014394750000000002,143.94750000000002,688170.48346248968,113523.31176674305,109.52573413299466,18.067796223839483
128,0.00014507650000000001,145.07650000000001,712450.48478158657,112818.33778048557,113.39001636120666,17.955596129175408
