step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,3769679.0295846569,0,599.96305142825736,0
1,1.6935000000000002e-06,1.6935000000000002,3767822.1354699908,2960.6073648629099,599.66751755111,0.47119529667220267
2,2.8225000000000005e-06,2.8225000000000007,3764110.1797709647,4933.5339507991521,599.07674145307192,0.78519631518137267
3,3.9515000000000002e-06,3.9515000000000002,3758546.8257397031,6905.2432610550823,598.19130615882636,1.0990035982489155
4,5.0805000000000007e-06,5.0805000000000007,3751137.5637349631,8875.2488058617164,597.01208548610907,1.4125397186233337
5,6.2095000000000004e-06,6.2095000000000002,3741889.7058038125,10843.064515828701,595.54024318335485,1.7257273159584667
6,7.338500000000001e-06,7.3385000000000007,3730812.3784655221,12808.20486187467,593.77723178121892,2.0384891159010006
7,8.4675000000000015e-06,8.4675000000000011,3717916.5137047921,14770.184975024255,591.72479115910414,2.3507479491567529
8,9.5965000000000004e-06,9.5965000000000007,3703214.8381832056,16728.520766042267,589.38494682811051,2.6624267705310469
9,1.0725500000000001e-05,10.7255,3686721.8606795473,18682.729044875494,586.76000793209994,2.9734486779384595
10,1.1854500000000001e-05,11.854500000000002,3668453.857771392,20632.327639872565,583.85256496884983,3.2837369313772578
11,1.2983500000000002e-05,12.983500000000001,3648428.8577720867,22576.835516752653,580.66548723354526,3.5932149718638504
12,1.4112500000000001e-05,14.112500000000001,3626666.622938985,24515.77289729342,577.20191998713051,3.9018064403225647
13,1.5241500000000001e-05,15.241500000000002,3603188.6299704788,26448.66137770917,573.46528135231597,4.2094351964261136
14,1.6370500000000002e-05,16.370500000000003,3578018.0488110958,28375.024046689774,569.45925894030438,4.5160253373820733
15,1.7499500000000001e-05,17.499500000000001,3551179.7197855599,30294.385603071463,565.18780621156372,4.8215012166607725
16,1.8628500000000003e-05,18.628500000000003,3522700.1290843887,32206.272473110221,560.65513857423832,5.1257874626599333
17,1.9757500000000002e-05,19.7575,3492607.3826252213,34110.212927329034,555.86572922405071,5.4288089973014859
18,2.0886500000000001e-05,20.886500000000002,3460931.1783156712,36005.737196910093,550.82430472979695,5.7304910545559657
19,2.2015500000000003e-05,22.015500000000003,3427702.7767450782,37892.377589603231,545.53584036879454,6.0307591988899132
20,2.3144500000000002e-05,23.144500000000001,3392954.9703340782,39769.668605121951,540.00555521688375,6.3295393436317218
21,2.4273500000000004e-05,24.273500000000006,3356722.0509724454,41637.147049998683,534.23890699782976,6.6267577692514186
22,2.5402500000000003e-05,25.402500000000003,3319039.7761771367,43494.352151870837,528.2415866972093,6.9223411415498592
23,2.6531500000000002e-05,26.531500000000001,3279945.3338039396,45340.825673169471,522.01951294609376,7.2162165297528347
24,2.7660500000000004e-05,27.660500000000003,3239477.3053475455,47176.112024182592,515.57882618007511,7.5083114245056608
25,2.8789500000000003e-05,28.789500000000004,3197675.6278662775,48999.758375465062,508.92588257939815,7.7985537557637645
26,2.9918500000000002e-05,29.918500000000002,3154581.5545690325,50811.314769567514,502.06724779617713,8.0868719105748994
27,3.1047500000000004e-05,31.047500000000003,3110237.6141033433,52610.334232056601,495.00969047488996,8.3731947507485618
28,3.2176500000000006e-05,32.176500000000004,3064687.568584742,54396.372881799245,487.76017557254374,8.6574516304082785
29,3.3305500000000002e-05,33.305500000000002,3017976.3704088307,56168.99004048371,480.32585748510235,8.9395724134224217
30,3.4434500000000004e-05,34.434500000000007,2970150.1178886974,57927.748341350329,472.71407298696192,9.2194874907092466
31,3.5563500000000006e-05,35.563500000000005,2921256.0097614476,59672.213837105213,464.9323339904405,9.4971277974118902
32,3.6692500000000001e-05,36.692500000000003,2871342.2986087445,61401.956106990307,456.98832013242674,9.7724248299390979
33,3.7821500000000004e-05,37.8215,2820458.2432373408,63116.548362983187,448.88987119550609,10.04531066286745
34,3.8950500000000006e-05,38.950500000000005,2768654.0600665817,64815.567555100679,440.64497937104181,10.315717965700948
35,4.0079500000000001e-05,40.079500000000003,2715980.8735708613,66498.594475780119,432.26178137184667,10.583580019483811
36,4.1208500000000004e-05,41.208500000000001,2662490.6658259407,68165.21386331247,423.74855040223014,10.848830733262373
37,4.2337500000000006e-05,42.337500000000006,2608236.2252089125,69815.01450430206,415.1136879933444,11.111404660392044
38,4.3466500000000001e-05,43.466500000000003,2553271.0943024484,71447.589335127195,406.36571571188756,11.371237014685278
39,4.4595500000000004e-05,44.595500000000001,2497649.517054732,73062.535542377111,397.51326675034579,11.628263686396611
40,4.5724500000000006e-05,45.724500000000006,2441426.3852472324,74659.454662240139,388.56507740707502,11.88242125804077
41,4.6853500000000008e-05,46.853500000000011,2384657.1843231432,76237.952678818649,379.52997846462927,12.133647020039993
42,4.7982500000000004e-05,47.982500000000002,2327397.9386299467,77797.640121346645,370.41688647484369,12.38187898619668
43,4.9111500000000006e-05,49.111500000000007,2269705.15613015,79338.132160285764,361.23479495927546,12.627055908987554
44,5.0240500000000008e-05,50.240500000000011,2211635.772634747,80859.048702276297,351.99276553368315,12.869117294675579
45,5.1369500000000003e-05,51.369500000000002,2153247.0956144454,82360.014483919455,342.69991896530598,13.108003418235878
46,5.2498500000000006e-05,52.498500000000007,2094596.7476441138,83840.659164368073,333.36542617176804,13.343655338091995
47,5.3627500000000008e-05,53.627500000000005,2035742.6095362576,85300.617416702575,323.99849917048959,13.576014910658836
48,5.4756500000000003e-05,54.756500000000003,1976742.7632196415,86739.529018070039,314.608381987538,13.805024804688742
49,5.5885500000000006e-05,55.885500000000008,1917655.4344194429,88157.038938563739,305.20434153489032,14.030628515417115
50,5.7014500000000008e-05,57.014500000000005,1858538.9351954886,89552.797428821432,295.7956584651098,14.252770378504108
51,5.8143500000000003e-05,58.143500000000003,1799451.60639529,90926.460106320839,286.39161801246206,14.471395583768986
52,5.9272500000000006e-05,59.272500000000008,1740451.7600786742,92277.688040350826,277.00150082951052,14.686450188713708
53,6.0401500000000008e-05,60.401500000000006,1681597.6219708172,93606.147835637574,267.63457382823196,14.897881131832442
54,6.153050000000001e-05,61.530500000000011,1622947.2740004857,94911.511714604712,258.30008103469396,15.105636245703671
55,6.2659500000000005e-05,62.659500000000008,1564558.5969801841,96193.457598247711,249.00723446631685,15.309664269861763
56,6.3788500000000001e-05,63.788499999999999,1506489.2134847818,97451.669185601932,239.76520504072462,15.509914863444687
57,6.491750000000001e-05,64.917500000000004,1448796.4309849853,98685.836031785249,230.58311352515642,15.706338617614897
58,6.6046500000000005e-05,66.046500000000009,1391537.185291789,99895.653624595579,221.4700215353709,15.898887067750199
59,6.7175500000000001e-05,67.1755,1334767.9843676994,101080.8234596448,212.43492259292506,16.087512705401689
60,6.830450000000001e-05,68.304500000000004,1278544.8525601998,102241.05311401017,203.48673324965432,16.272168990015739
61,6.9433500000000005e-05,69.433500000000009,1222923.2753124833,103376.0563183854,194.63428428811255,16.452810360417196
62,7.0562500000000001e-05,70.5625,1167958.1444060188,104485.55302771318,185.8863120066556,16.629392246050905
63,7.169150000000001e-05,71.691500000000005,1113703.7037889911,105569.26949028227,177.25144959776995,16.801871077978838
64,7.2820500000000005e-05,72.82050000000001,1060213.4960440705,106626.93831527152,168.73821862815345,16.970204299630073
65,7.3949500000000014e-05,73.949500000000015,1007540.3095483503,107658.29853872457,160.35502062895833,17.13435037730099
66,7.507850000000001e-05,75.078500000000005,955736.12637759058,108663.09568793894,152.11012880449394,17.2942688104031
67,7.6207500000000005e-05,76.20750000000001,904852.071006187,109641.08184425309,144.01167986757335,17.449920141455941
68,7.7336500000000014e-05,77.336500000000015,854938.35985348339,110592.0157042169,136.0676660095595,17.601265965822638
69,7.846550000000001e-05,78.465500000000006,806044.2517262341,111515.66263912954,128.28592701303816,17.748268941185664
70,7.9594500000000005e-05,79.594500000000011,758217.99920610106,112411.79475293065,120.67414251489777,17.8908927967605
71,8.0723500000000014e-05,80.723500000000016,711506.80103018996,113280.19093843029,113.2398244274564,18.029102342244911
72,8.185250000000001e-05,81.852500000000006,665956.75551158795,114120.63693186374,105.99030952511005,18.162863476501624
73,8.2981500000000005e-05,82.981500000000011,621612.81504589925,114932.925365758,98.932752203822972,18.292143195972269
74,8.4110500000000014e-05,84.110500000000016,578518.74174865359,115716.85582009653,92.074117420601866,18.416909602820525
75,8.5239500000000009e-05,85.239500000000007,536717.06426738622,116472.23487176995,85.421173819924988,18.537131912802415
76,8.6368500000000005e-05,86.368500000000012,496249.03581099189,117198.87614230021,78.980487053906359,18.652780462861884
77,8.7497500000000014e-05,87.497500000000016,457154.5934377946,117896.60034382679,72.758413302790757,18.763826718449682
78,8.8626500000000009e-05,88.626500000000007,419472.31864248589,118565.23532334322,66.761093002170242,18.870243280563873
79,8.9755500000000005e-05,89.755499999999998,383239.39928085334,119204.61610517332,60.994444783116371,18.972003892510092
80,9.0884500000000014e-05,90.884500000000017,348491.59286985314,119814.58493167644,55.46415963120544,19.069083446380027
81,9.2013500000000009e-05,92.013500000000008,315263.19129926059,120394.99130217175,50.175695270203136,19.161457989246379
82,9.3142500000000005e-05,93.142499999999998,283586.98698971025,120945.69201007221,45.134270775949403,19.249104729072943
83,9.4271500000000014e-05,94.271500000000017,253494.2405305428,121466.5511782184,40.344861425761771,19.332002040338143
84,9.5400500000000009e-05,95.400500000000008,225014.64982937113,121957.44029240441,35.812193788436325,19.410129469370851
85,9.6529500000000005e-05,96.529499999999999,198176.32080383552,122418.23823308661,31.540741059695641,19.483467739396986
86,9.7658500000000014e-05,97.658500000000018,173005.7396444527,122848.83130526821,27.534718647684134,19.551998755295813
87,9.8787500000000009e-05,98.787500000000009,149527.74667594652,123249.11326655175,23.798080012869612,19.615705608064609
88,9.9916500000000005e-05,99.916499999999999,127765.51184284431,123618.98535335284,20.334512766454768,19.674572578990716
89,0.00010104550000000001,101.04550000000002,107740.51184353931,123958.35630526858,17.147435031150177,19.728585143529909
90,0.00010217450000000001,102.17450000000001,89472.508935383987,124267.14238759469,14.239992067900136,19.777729974890089
91,0.0001033035,103.3035,72979.531431725482,124545.26741198584,11.615053171889457,19.821994947319496
92,0.00010443250000000001,104.43250000000002,58277.855910139158,124792.66275525391,9.2752088408958748,19.861369139098525
93,0.00010556150000000001,105.56150000000001,45381.991149409208,125009.26737629983,7.2227682187811215,19.895842835234529
94,0.0001066905,106.6905,34304.663811118808,125195.02783117445,5.4597568166452159,19.925407529858823
95,0.00010781950000000001,107.81950000000002,25056.805879968219,125349.89828626515,3.9879145138910106,19.950055928325401
96,0.00010894850000000001,108.94850000000001,17647.543875228381,125473.84052960451,2.8086938411736995,19.969781949010759
97,0.00011007750000000002,110.07750000000001,12084.189843966626,125566.82398029856,1.923258546928168,19.984580724814457
98,0.00011120650000000001,111.20650000000002,8372.2341449405067,125628.82569607219,1.3324824488900295,19.994448604360009
99,0.00011233550000000001,112.33550000000001,6515.3400302743539,125659.83037892978,1.0369485717426625,19.999383152895792
100,0.00011346450000000002,113.46450000000002,6515.3400302743539,125659.83037892978,1.0369485717426625,19.999383152895792
101,0.00011459350000000001,114.59350000000002,8372.2341449402738,125628.82569607219,1.3324824488899925,19.994448604360009
102,0.00011572250000000001,115.72250000000001,12084.189843966393,125566.82398029856,1.9232585469281309,19.984580724814457
103,0.00011685150000000002,116.85150000000002,17647.543875228148,125473.84052960451,2.8086938411736622,19.969781949010759
104,0.00011798050000000001,117.98050000000001,25056.805879967986,125349.89828626516,3.9879145138909737,19.950055928325401
105,0.00011910950000000001,119.10950000000001,34304.663811118575,125195.02783117445,5.4597568166451786,19.925407529858823
106,0.00012023850000000002,120.23850000000002,45381.991149409208,125009.26737629983,7.2227682187811215,19.895842835234529
107,0.00012136750000000001,121.36750000000001,58277.855910138926,124792.66275525391,9.2752088408958375,19.861369139098525
108,0.00012249650000000002,122.49650000000003,72979.531431725482,124545.26741198584,11.615053171889457,19.821994947319496
109,0.00012362550000000002,123.62550000000002,89472.508935383987,124267.14238759471,14.239992067900136,19.777729974890093
110,0.00012475450000000001,124.75450000000001,107740.51184353908,123958.35630526859,17.147435031150138,19.728585143529909
111,0.00012588350000000001,125.88350000000001,127765.51184284431,123618.98535335284,20.334512766454768,19.674572578990716
112,0.0001270125,127.0125,149527.74667594628,123249.11326655175,23.798080012869576,19.615705608064609
113,0.00012814150000000003,128.14150000000004,173005.73964445246,122848.83130526821,27.534718647684095,19.551998755295813
114,0.00012927050000000002,129.27050000000003,198176.32080383529,122418.23823308661,31.540741059695602,19.483467739396986
