step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.9566082761916993,0.95600843585534967,0.95600843585534967,0.0067995312015278076,8.4798026992633773e-08,0.94920881985579486,0.45439573200609112
1,0.99952498575623738,0.99883415995647329,0.99883415995647329,0.0068560962527988078,8.7165298437066839e-08,0.99197797653837605,0.056179172702654788
2,0.99985393245587106,0.99915389077569017,0.99915389077569017,0.0068663329987007082,9.1105810475183493e-08,0.99228746667117895,0.061442029021847012
3,0.99995004715738633,0.99925025364341336,0.99925025364341336,0.0068647522396651159,8.8517449274469299e-08,0.992385412886299,0.029149485647257032
4,0.99997779983367097,0.99928023130076749,0.99928023130076749,0.0068610232713307816,8.8064863088098793e-08,0.99241911996457366,0.026833134622129017
5,0.99999641887963053,0.99929881886651206,0.99929881886651206,0.0068607210539235143,8.7242889235648249e-08,0.99243801056969927,0.0085121404478658083
6,0.99999876358466522,0.99930070160087703,0.99930070160087703,0.0068612487632289569,8.7334542071183273e-08,0.99243936550310596,0.008921280489995723
7,0.99999985511896816,0.99930184253725796,0.99930184253725796,0.0068609091590119513,8.7244518269755731e-08,0.99244084613372774,0.0041632799800920802
8,0.99999987722728856,0.99930194024842756,0.99930194024842756,0.0068605553223423611,8.7286313121528981e-08,0.99244129763977207,0.0035077140511767788
9,0.9999997197794398,0.99930182177866145,0.99930182177866145,0.0068603517242776229,8.7355861431863193e-08,0.99244138269852245,0.0048806408052132384
10,0.9999998345046317,0.99930192636008963,0.99930192636008963,0.0068602131288452118,8.7405690908218712e-08,0.99244162582555351,0.0046065753321412857
11,0.99999989750685492,0.9993019631240766,0.9993019631240766,0.006860123835229175,8.7415403154110179e-08,0.9924417518734443,0.0053146492070722372
12,0.99999988762707837,0.99930195167805258,0.99930195167805258,0.0068599898469106756,8.7366791905364917e-08,0.99244187446434995,0.0045566144398326578
13,0.99999986737105906,0.99930195288781209,0.99930195288781209,0.0068597540741876881,8.7327675536914318e-08,0.99244211148594885,0.0054481838374250803
14,0.99999981440081198,0.99930201212269376,0.99930201212269376,0.0068591506578941051,8.7328909923212974e-08,0.99244277413588977,0.005389668850582183
15,0.99999958063379457,0.99930193110894883,0.99930193110894883,0.0068579969875411642,8.7666405679567875e-08,0.99244384645500194,0.0057565834435259469
16,0.9999992893123143,0.99930181203614177,0.99930181203614177,0.0068570478948636621,8.8766480080195038e-08,0.99244467537479808,0.0073511802124099548
17,0.99999961174160001,0.99930213340154139,0.99930213340154139,0.0068556279468973162,8.8531982419963239e-08,0.99244641692266167,0.0068056839157020696
18,0.99999980565720425,0.99930232680719822,0.99930232680719822,0.0068543401483668808,8.8615732526597086e-08,0.99244789804309885,0.0061162203284265892
19,0.99999985136039704,0.99930238363818447,0.99930238363818447,0.0068538710420592217,8.8598255811395209e-08,0.99244842399786948,0.006717898551385334
20,0.99999941121218994,0.99930193968859216,0.99930193968859216,0.0068529174857024583,8.8661879366091717e-08,0.99244893354101038,0.008106094197311042
