category,metric,scale,value,available,notes
W,unitarity_fro_mean,,6.816459157540739e-15,True,nominal expm W^dagger W - I
W,unitarity_fro_max,,1.7657491244531912e-14,True,nominal expm W^dagger W - I
dW,sample_count,,4,True,sampled gradient coordinates
dW,norm_first_minus_fd,,1.5302196647683855e-09,True,
dW,norm_frechet_minus_fd,,1.4873544982151848e-09,True,
dW,norm_first_minus_frechet,,5.102957663143725e-10,True,
dW,relative_first_minus_fd,,1.5302196647683855e-09,True,
dW,relative_frechet_minus_fd,,1.4873544982151848e-09,True,
V,relative_fro_mean,,0.044090563826768736,True,
V,relative_fro_median,,0.04732837916498122,True,
V,relative_fro_max,,0.07483275007619039,True,
V,relative_spectral_mean,,0.052786404954898634,True,
V,relative_spectral_max,,0.0896938549772328,True,
V,fidelity_leading,,0.999301939688597,True,
V,fidelity_frechet,,0.9993037144378967,True,
V,fidelity_leading_minus_frechet,,-1.7747492996322833e-06,True,
truncation,perturbative_fidelity,0.25,0.9999558192419731,True,
truncation,sigma_rms_spectral,0.25,1572.7585165384178,True,
truncation,sigma_mean_spectral,0.25,1572.7585165384185,True,
truncation,sigma_max_spectral,0.25,1572.758516538418,True,
truncation,total_time,0.25,0.0002258,True,
truncation,sigmaT_squared_estimate,0.25,0.12611651646266506,True,(sigma_rms_spectral * total_time)^2
truncation,perturbative_fidelity,0.5,0.9998250433312977,True,
truncation,sigma_rms_spectral,0.5,3145.5170330768356,True,
truncation,sigma_mean_spectral,0.5,3145.517033076837,True,
truncation,sigma_max_spectral,0.5,3145.517033076836,True,
truncation,total_time,0.5,0.0002258,True,
truncation,sigmaT_squared_estimate,0.5,0.5044660658506602,True,(sigma_rms_spectral * total_time)^2
truncation,perturbative_fidelity,1.0,0.999301939688597,True,
truncation,sigma_rms_spectral,1.0,6291.034066153671,True,
truncation,sigma_mean_spectral,1.0,6291.034066153674,True,
truncation,sigma_max_spectral,1.0,6291.034066153672,True,
truncation,total_time,1.0,0.0002258,True,
truncation,sigmaT_squared_estimate,1.0,2.017864263402641,True,(sigma_rms_spectral * total_time)^2
