step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,1.8816666666666668e-07,0.18816666666666668,345017.57938499807,0,54.911253212722855,0
1,5.6450000000000006e-07,0.56450000000000011,338308.73893787351,8739.2122249365784,53.843508093148138,1.3908888243277773
2,9.4083333333333336e-07,0.94083333333333341,342175.57847110694,18338.219641569885,54.458934719005399,2.9186183034607325
3,1.3171666666666667e-06,1.3171666666666666,307783.28369357396,27150.155318837031,48.985231000887445,4.3210814247056275
4,1.6935000000000002e-06,1.6935000000000002,306581.02449005248,35995.29820758116,48.793885505769282,5.7288296378033818
5,2.0698333333333335e-06,2.0698333333333334,302864.86020687933,44778.197684011189,48.202439590760719,7.126671504156441
6,2.446166666666667e-06,2.446166666666667,293010.89982940769,53181.568346167798,46.634133087654433,8.4641094836720789
7,2.8225000000000001e-06,2.8225000000000002,277332.85356330802,61458.860587021569,44.138894526381236,9.7814814592201476
8,3.1988333333333336e-06,3.1988333333333334,268075.59887518152,69904.736231020885,42.665556683305283,11.125684316702085
9,3.5751666666666667e-06,3.5751666666666666,263778.09513538482,78410.60962676513,41.981587720160732,12.479436112948626
10,3.9515000000000002e-06,3.9515000000000002,271822.99320967728,86840.669862296665,43.261973015354847,13.821121869995897
11,4.3278333333333337e-06,4.3278333333333334,279422.37198768195,95302.663259712746,44.471451712301935,15.167889947605648
12,4.7041666666666672e-06,4.7041666666666675,278310.24004418286,103818.04641266004,44.294450416123659,16.523155268718661
13,5.0804999999999999e-06,5.0804999999999998,266576.5961676708,112150.19943683658,42.426982992696814,17.84925860911444
14,5.4568333333333334e-06,5.456833333333333,287725.56006983126,120264.7423631759,45.792945138997709,19.140728226772715
15,5.8331666666666669e-06,5.8331666666666671,275257.23069621623,128298.08848568005,43.808548887089003,20.419274971737362
16,6.2095000000000004e-06,6.2095000000000002,286588.48415726644,136521.83052314084,45.611973886842293,21.728124167711862
17,6.5858333333333339e-06,6.5858333333333343,308249.71195554081,144855.5623497903,49.059465364377232,23.054478782325376
18,6.9621666666666675e-06,6.9621666666666675,313056.34579686215,153072.1227971153,49.824464899856309,24.362184992730501
19,7.3385000000000001e-06,7.3384999999999998,340898.80259457999,161034.95368174353,54.255729527035648,25.629508889023896
20,7.7148333333333345e-06,7.7148333333333348,342380.11897093896,168868.60578053311,54.491488350616152,26.876273343008457
21,8.0911666666666663e-06,8.0911666666666662,337327.2580112986,176551.1646621878,53.68730055213333,28.098990564618344
22,8.4674999999999998e-06,8.4674999999999994,355957.11229311343,184005.9401775446,56.652333950165868,29.285454937527813
23,8.8438333333333333e-06,8.8438333333333325,346169.44930502446,191208.82753683534,55.094579004293919,30.43183006529306
24,9.2201666666666668e-06,9.2201666666666675,347894.29596821725,198153.17393563263,55.369096876816613,31.537057121204054
25,9.5965000000000004e-06,9.5965000000000007,339267.65890398354,204856.90001002169,53.996124945784061,32.603988263077099
