step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000002e-06,5.6450000000000005,1788264.2506435304,0,284.61109504444198,0
1,1.6935e-05,16.934999999999999,2531111.7822421957,85058.813449084526,402.83895166198249,13.537530613953191
2,2.8225000000000002e-05,28.225000000000001,204845.14704812341,1444.3418844549014,32.60211772109502,0.22987415042566073
3,3.9515000000000004e-05,39.515000000000001,2279446.1172339828,50960.88670451814,362.78511706941634,8.1106770233701102
4,5.0804999999999999e-05,50.805,1783692.5906110883,108155.20156387302,283.88349275214318,17.213434949990681
5,6.2095000000000008e-05,62.095000000000006,2530396.7323179105,107255.57463244215,402.72514793197502,17.070254876914866
6,7.3385000000000003e-05,73.385000000000005,454110.05129225552,79025.76287243668,72.273859370876607,12.577340792756276
7,8.4674999999999998e-05,84.674999999999997,846700.92090539436,98829.108535072883,134.75663688255344,15.729141144722274
8,9.5965000000000007e-05,95.965000000000003,979671.29695302667,35070.141552850946,155.91952951532227,5.5815863830687071
9,0.000107255,107.255,1235049.7945672073,110468.71139503442,196.56427977000092,17.581641475511717
10,0.000118545,118.545,1382953.3685677031,105388.83369776148,220.10386467313776,16.77315382968845
11,0.00012983499999999999,129.83499999999998,2954316.9098126045,22458.78727916452,470.19413965664921,3.5744270113284125
12,0.000141125,141.125,305161.66214936227,106843.89455634335,48.567986973209948,17.004733957831295
13,0.00015241500000000001,152.41500000000002,3099381.649997972,68032.165399644626,493.28191012549195,10.827655412598853
14,0.00016370499999999999,163.70499999999998,3106622.4291156791,42937.099248474624,494.43431591391163,6.8336515874220414
15,0.000174995,174.995,681054.02034453629,2685.7489678609709,108.39311385044121,0.4274502241390295
16,0.00018628500000000001,186.285,2354902.3144698204,57164.166088831051,374.79434384641689,9.0979596007635593
17,0.00019757500000000002,197.57500000000002,723591.38949712249,120534.29978874428,115.16314641720001,19.183629623499048
18,0.000208865,208.86500000000001,1954233.4018677822,103318.29845682002,311.02590586254792,16.443617911246651
19,0.00022015500000000001,220.155,1045563.0812442971,0,166.40653269442285,0
