step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000002e-06,5.6450000000000005,2942930.7653508037,0,468.3819784827952,0
1,1.6935e-05,16.934999999999999,3073278.7014750298,24450.309218910319,489.12749683879241,3.8913875723149163
2,2.8225000000000002e-05,28.225000000000001,3176205.9978155824,34124.071709850221,505.50888483047572,5.4310146910449681
3,3.9515000000000004e-05,39.515000000000001,1970243.4264686371,77890.447258935121,313.57398041679681,12.396649700898095
4,5.0804999999999999e-05,50.805,2386311.0146584678,44801.447187537604,379.79319373753151,7.1303717775671025
5,6.2095000000000008e-05,62.095000000000006,2918933.123542096,113811.16839580455,464.56263516639063,18.113610029256392
6,7.3385000000000003e-05,73.385000000000005,605063.87860828964,124151.95988169598,96.298907166863813,19.7593981097186
7,8.4674999999999998e-05,84.674999999999997,293838.03922932665,114954.15560829235,46.765776411777594,18.29552209401465
8,9.5965000000000007e-05,95.965000000000003,656726.13322656252,98503.971689289232,104.52121036063404,15.677394008534499
9,0.000107255,107.255,354548.45802463777,125663.70614359171,56.428139660230471,20
10,0.000118545,118.545,775947.13899203902,119627.14295196012,123.49582274859698,19.039251128765244
11,0.00012983499999999999,129.83499999999998,721126.51107768086,91625.493510352098,114.77084883262533,14.582650205406916
12,0.000141125,141.125,468148.91523533384,124570.69859965512,74.508213962812093,19.82604244654576
13,0.00015241500000000001,152.41500000000002,275249.31437290623,105606.14825068066,43.807288965103105,16.807740514991345
14,0.00016370499999999999,163.70499999999998,2567408.5435294346,125663.70614359171,408.61576063907307,20
15,0.000174995,174.995,2621332.588960547,97231.416459183296,417.19803902094657,15.474860553305694
16,0.00018628500000000001,186.285,2201031.573019139,42862.673950737109,350.30505474732598,6.8218064333960298
17,0.00019757500000000002,197.57500000000002,2421439.3600844834,58297.335645175044,385.38404355472147,9.2783091370169561
18,0.000208865,208.86500000000001,3769911.1843077517,16918.270121594913,600,2.6926263184157517
19,0.00022015500000000001,220.155,3053101.5946356738,0,485.91621054801561,0
