step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,3769679.5957379374,0,599.96314153435048,0
1,1.6935000000000002e-06,1.6935000000000002,3769167.281606751,2022.7684102483763,599.88160420795634,0.32193359122116394
2,2.8225000000000005e-06,2.8225000000000007,3767901.2429749677,3334.9740872140392,599.68010790156279,0.53077761106349608
3,3.9515000000000002e-06,3.9515000000000002,3755699.6843557158,9336.7440116741491,597.73816953388325,1.485988961841594
4,5.0805000000000007e-06,5.0805000000000007,3755145.6109161545,8262.0435991714621,597.64998600714114,1.3149450788488923
5,6.2095000000000004e-06,6.2095000000000002,3749477.9201443298,9059.732163194436,596.74794500488895,1.4419011568610245
6,7.338500000000001e-06,7.3385000000000007,3726028.4896277571,14932.765226719654,593.01585222548647,2.3766233998632003
7,8.4675000000000015e-06,8.4675000000000011,3722300.8200008962,14448.207099202598,592.42257517815801,2.2995035786535079
8,9.5965000000000004e-06,9.5965000000000007,3713790.5204111133,14986.910568447791,591.06811893125121,2.385240898644633
9,1.0725500000000001e-05,10.7255,3680465.2217823351,20599.593821251947,585.76423292446759,3.2785271823375126
10,1.1854500000000001e-05,11.854500000000002,3674069.3317321213,20268.143614696048,584.74629540750379,3.2257752435753115
11,1.2983500000000002e-05,12.983500000000001,3660769.0646641077,21088.048139078477,582.62949215918707,3.3562671014941845
12,1.4112500000000001e-05,14.112500000000001,3618786.2910923283,26347.188111845848,575.94772622053051,4.1932852245722874
13,1.5241500000000001e-05,15.241500000000002,3612450.1715199668,25699.362731837842,574.9393014705679,4.0901806130836285
14,1.6370500000000002e-05,16.370500000000003,3589224.5615055002,27434.860602638437,571.24283083044099,4.3663936779470021
15,1.7499500000000001e-05,17.499500000000001,3542451.8372635767,31974.643992710051,563.79872056546469,5.0889226450433815
16,1.8628500000000003e-05,18.628500000000003,3538635.5280042067,30863.88434652557,563.19133608246864,4.9121397567661171
17,1.9757500000000002e-05,19.7575,3496923.3322050124,34151.797436217035,556.55263393380983,5.4354273774470601
18,2.0886500000000001e-05,20.886500000000002,3456624.8913591281,37015.147292918635,550.13893787429095,5.89114366094259
19,2.2015500000000003e-05,22.015500000000003,3449132.1602872619,36302.984596152135,548.94643268694529,5.7777994474665464
20,2.3144500000000002e-05,23.144500000000001,3385602.7312648408,40929.997229661793,538.83541002622121,6.5142113798382573
21,2.4273500000000004e-05,24.273500000000006,3367545.8193161571,41179.035002823068,535.96156323261312,6.5538469724534725
22,2.5402500000000003e-05,25.402500000000003,3331326.7492097765,42952.553728476501,530.19711919099075,6.8361112443072551
23,2.6531500000000002e-05,26.531500000000001,3273177.0784409824,46360.56590483831,520.94231164897087,7.3785132282926051
24,2.7660500000000004e-05,27.660500000000003,3263954.0455864286,45798.737309067903,519.47442037986968,7.289095430105367
25,2.8789500000000003e-05,28.789500000000004,3188160.5280902246,50105.425849808104,507.41150741602672,7.9745261997213914
26,2.9918500000000002e-05,29.918500000000002,3174020.8612752864,49908.037587792562,505.16110954875688,7.9431108821132996
27,3.1047500000000004e-05,31.047500000000003,3111375.6074825879,52938.086323663425,495.19080774640258,8.4253581162364952
28,3.2176500000000006e-05,32.176500000000004,3072716.6520818188,54306.578337489816,489.03804389960106,8.6431603848187493
29,3.3305500000000002e-05,33.305500000000002,3031564.2590426868,55770.395801443345,482.48843712736272,8.8761341699911949
30,3.4434500000000004e-05,34.434500000000007,2969382.5653853985,58368.675893661479,472.59191321197932,9.2896632902049774
31,3.5563500000000006e-05,35.563500000000005,2942838.5471396456,58905.641909670579,468.36730149864627,9.3751240859251865
32,3.6692500000000001e-05,36.692500000000003,2866319.806927898,62038.371310671508,456.18896575478209,9.8737134554637969
33,3.7821500000000004e-05,37.8215,2845576.7536621355,62256.011334621573,452.88760629271746,9.9083519410900891
34,3.8950500000000006e-05,38.950500000000005,2762908.6164485258,65439.324593877027,439.73056361897244,10.414991981710566
35,4.0079500000000001e-05,40.079500000000003,2741410.5227478324,65706.967333018649,436.30903573945437,10.45758864662761
36,4.1208500000000004e-05,41.208500000000001,2659430.6378477663,68629.802621062176,423.26153182350419,10.922772330563161
37,4.2337500000000006e-05,42.337500000000006,2630150.5804518154,69248.856783117284,418.60146595492421,11.021297860495842
38,4.3466500000000001e-05,43.466500000000003,2558234.7995773158,71572.695003960049,407.15571394243403,11.391148200288844
39,4.4595500000000004e-05,44.595500000000001,2509867.5358157251,72925.081024696818,399.45782483094735,11.60638712045748
40,4.5724500000000006e-05,45.724500000000006,2461005.3900248501,74258.12557481807,391.68117279825276,11.818547749970989
41,4.6853500000000008e-05,46.853500000000011,2381877.8791713412,76622.412380443435,379.08763831135923,12.194835681973213
42,4.7982500000000004e-05,47.982500000000002,2360964.9654890629,76956.40915535696,375.75924472437049,12.247992919677451
43,4.9111500000000006e-05,49.111500000000007,2260929.4061389957,79854.272447154144,359.8380909688446,12.709202186971524
44,5.0240500000000008e-05,50.240500000000011,2239382.6239831075,80265.908961215348,356.40881408101075,12.774716172941481
