step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,5.6450000000000006e-07,0.56450000000000011,279505.61524539394,0,44.484700288245868,0
1,1.6935000000000002e-06,1.6935000000000002,329941.74846428307,58155.888324365267,52.511860200473421,9.2557970967229757
2,2.8225000000000005e-06,2.8225000000000007,1945764.1767874693,62163.324467936887,309.67798682685827,9.8936003680975215
3,3.9515000000000002e-06,3.9515000000000002,1628809.1096626311,13771.085816479252,259.23302115591679,2.1917363794353624
4,5.0805000000000007e-06,5.0805000000000007,3015501.7773251524,80219.255679205511,479.93201376369393,12.767291072498157
5,6.2095000000000004e-06,6.2095000000000002,1849583.1283819266,63911.496636996926,294.37029754135528,10.171830610179107
6,7.338500000000001e-06,7.3385000000000007,7403.2632769760676,65024.391401474,1.1782659455414448,10.348953313086724
7,8.4675000000000015e-06,8.4675000000000011,1881657.4840393425,101710.07210268229,299.47508979072052,16.187660737374973
8,9.5965000000000004e-06,9.5965000000000007,1693595.9068634401,14822.766113783335,269.54416017751771,2.3591164973036616
9,1.0725500000000001e-05,10.7255,2930192.9798294124,6982.4371663393249,466.3546969530214,1.1112893898514702
10,1.1854500000000001e-05,11.854500000000002,274680.63758023968,50266.480807067899,43.716781242528576,8.0001588922787406
11,1.2983500000000002e-05,12.983500000000001,3045567.3024790422,120687.69568330991,484.71709070858918,19.208043338369173
12,1.4112500000000001e-05,14.112500000000001,61028.421544771409,99484.111143800619,9.7129749579462938,15.83338804763938
13,1.5241500000000001e-05,15.241500000000002,1972500.7236113274,96650.07790081299,313.93324041508322,15.382337648131145
14,1.6370500000000002e-05,16.370500000000003,3726629.5715910592,48092.395801673469,593.11151739114939,7.654142516968248
15,1.7499500000000001e-05,17.499500000000001,2830004.9520422211,22912.781903210191,450.40927709206176,3.6466824998824277
16,1.8628500000000003e-05,18.628500000000003,211367.83661492472,33116.075970819387,33.640236007905379,5.2705871865626426
17,1.9757500000000002e-05,19.7575,236835.6537495181,113613.20389202464,37.693564994636382,18.082102999923084
18,2.0886500000000001e-05,20.886500000000002,2342426.8342739525,106672.96829409292,372.8088095057995,16.977530198289916
19,2.2015500000000003e-05,22.015500000000003,3282467.588013364,46493.456611973452,522.42094217125793,7.3996634412241402
20,2.3144500000000002e-05,23.144500000000001,2806207.7059773454,51794.628645446486,446.62182774886259,8.2433711745318892
21,2.4273500000000004e-05,24.273500000000006,3449266.173399006,77941.046188849126,548.96776153611847,12.40470277070907
22,2.5402500000000003e-05,25.402500000000003,2702674.6033524345,113946.83468663532,430.14402269246756,18.135201990053051
23,2.6531500000000002e-05,26.531500000000001,210551.02185466164,97738.874011277949,33.51023590121909,15.555624931130872
24,2.7660500000000004e-05,27.660500000000003,291058.07719102176,49270.904887054588,46.323331711773555,7.8417080633853615
25,2.8789500000000003e-05,28.789500000000004,3311186.9046800742,25200.079065214646,526.9917633809863,4.0107171495355001
26,2.9918500000000002e-05,29.918500000000002,1897519.5890722247,4159.8946737015285,301.99962221454655,0.66206780006124533
27,3.1047500000000004e-05,31.047500000000003,30356.236633053282,23449.413719661519,4.8313451138177044,3.7320901060910394
28,3.2176500000000006e-05,32.176500000000004,3769030.9128432181,101686.99729069714,599.85990044515677,16.183988266986621
29,3.3305500000000002e-05,33.305500000000002,2496606.2626265371,107775.0452400163,397.34722765119608,17.152931191901242
30,3.4434500000000004e-05,34.434500000000007,3644468.325266147,78206.836814375754,580.03514890794884,12.447004662589119
31,3.5563500000000006e-05,35.563500000000005,958532.41696652793,105663.30711011551,152.55517227404465,16.816837630011896
32,3.6692500000000001e-05,36.692500000000003,981347.19135941251,98105.949296785489,156.18625639419864,15.614046777306266
33,3.7821500000000004e-05,37.8215,1776402.4154067819,88201.111788058042,282.72322533237184,14.037642927270278
34,3.8950500000000006e-05,38.950500000000005,2431785.5036760438,113410.42992905391,387.03068344925686,18.04983052138596
35,4.0079500000000001e-05,40.079500000000003,1660264.4559451188,117065.42032014653,264.23929500344195,18.631540309081732
36,4.1208500000000004e-05,41.208500000000001,797220.172775832,53645.276294211602,126.88153122984852,8.5379108957542496
37,4.2337500000000006e-05,42.337500000000006,2323968.7492963579,64353.845706848908,369.87111404160504,10.242232651218153
38,4.3466500000000001e-05,43.466500000000003,1751144.129261517,46349.738069157313,278.70324423832335,7.3767899247209874
39,4.4595500000000004e-05,44.595500000000001,537587.90211258829,77670.471550789443,85.559771967620392,12.361639479586572
40,4.5724500000000006e-05,45.724500000000006,653014.7173811798,19581.159774401465,103.9305201829718,3.1164383695681757
41,4.6853500000000008e-05,46.853500000000011,2889385.2784866672,70955.462532879814,459.85994956810572,11.2929126014796
42,4.7982500000000004e-05,47.982500000000002,3592278.9398863413,41661.939745266245,571.72895024782486,6.630703649255822
43,4.9111500000000006e-05,49.111500000000007,593595.88991145045,122172.3371078459,94.473720078439868,19.444331359803069
44,5.0240500000000008e-05,50.240500000000011,1482886.7414405304,33836.118303779047,236.00875494569377,5.385185483088593
45,5.1369500000000003e-05,51.369500000000002,1621574.5517502823,122465.13455202652,258.0816055030819,19.490931520369088
46,5.2498500000000006e-05,52.498500000000007,324900.18816654151,123142.25001388168,51.709470958192007,19.59869779316729
47,5.3627500000000008e-05,53.627500000000005,1586596.1569519527,76263.348066855018,252.51462106950791,12.137688821577719
48,5.4756500000000003e-05,54.756500000000003,1416711.9414011107,1536.8875198901078,225.47670841130235,0.2446032457667543
49,5.5885500000000006e-05,55.885500000000008,2494658.2145528942,66759.830793167304,397.03718617089515,10.625157070711106
50,5.7014500000000008e-05,57.014500000000005,764268.26081001386,48802.931269526329,121.6370715561596,7.7672277489191428
51,5.8143500000000003e-05,58.143500000000003,1972822.2417372102,83347.392319903418,313.98441161411108,13.265149481532104
52,5.9272500000000006e-05,59.272500000000008,2262837.0051321415,72776.263313177362,360.14169477804091,11.582702046049535
53,6.0401500000000008e-05,60.401500000000006,1456162.546710796,73345.093054563127,231.75546725430613,11.673234111168764
54,6.153050000000001e-05,61.530500000000011,974889.93094409199,124453.16707125811,155.15855148026876,19.807336722832229
55,6.2659500000000005e-05,62.659500000000008,2263751.010198216,12990.002397139899,360.28716320231769,2.0674230922803849
56,6.3788500000000001e-05,63.788499999999999,3566423.3275792543,33236.28216727059,567.61390174248425,5.2897185969181271
57,6.491750000000001e-05,64.917500000000004,1177020.5733305146,27103.781454228709,187.3286423664081,4.3137007949229389
58,6.6046500000000005e-05,66.046500000000009,3007633.7468362041,44555.405541107692,478.67977781898003,7.0912130333313135
59,6.7175500000000001e-05,67.1755,1883182.8691863716,85372.523984542873,299.71786237698916,13.587459196371393
60,6.830450000000001e-05,68.304500000000004,3142577.9085378554,77142.611276077048,500.15680819518991,12.277627907604247
61,6.9433500000000005e-05,69.433500000000009,954288.17552733154,91731.611441504647,151.87968026932109,14.599539398700529
62,7.0562500000000001e-05,70.5625,1480664.5068834166,87492.487494092522,235.65507533121945,13.924861868090661
63,7.169150000000001e-05,71.691500000000005,2829113.1957269595,48538.259285639186,450.26734966645444,7.7251038943855654
64,7.2820500000000005e-05,72.82050000000001,1669706.9900487554,46832.770588587045,265.74212098134956,7.4536669378623612
65,7.3949500000000014e-05,73.949500000000015,734678.20801759465,80243.934693328541,116.92766838789593,12.771218859586471
66,7.507850000000001e-05,75.078500000000005,1160234.3670281321,105482.62400696619,184.6570346576236,16.788081021012498
67,7.6207500000000005e-05,76.20750000000001,3373825.9180991501,120336.77918690522,536.96107199703181,19.152193243353878
68,7.7336500000000014e-05,77.336500000000015,3114344.8845923529,9345.6474421634994,495.6633828758313,1.4874059868144491
69,7.846550000000001e-05,78.465500000000006,1001336.9953017236,103887.32479900743,159.36773250305529,16.534181266355276
70,7.9594500000000005e-05,79.594500000000011,2624614.6222303929,25827.845530084647,417.7203908392346,4.110629285526886
71,8.0723500000000014e-05,80.723500000000016,2616852.4015475833,3864.3409616667122,416.48499504819529,0.61502896584174571
72,8.185250000000001e-05,81.852500000000006,3420318.344073182,18875.319580337651,544.36057140713308,3.0041004136499767
73,8.2981500000000005e-05,82.981500000000011,1042509.2682591277,117262.3737401847,165.92050326255494,18.662886419439662
74,8.4110500000000014e-05,84.110500000000016,1141674.2442681531,6058.0615050887936,181.70309937598054,0.9641704340896089
75,8.5239500000000009e-05,85.239500000000007,3414061.5106324665,39688.024559024838,543.3647654369405,6.3165452901213435
