mode,run_index,seed,source_npz,source_dt,experiment_dt,dt_missing,dt_mismatch,interrupted,success,nit,nfev,initial_open_gate_fidelity,final_open_gate_fidelity,initial_close_gate_fidelity,final_close_gate_fidelity,initial_cost,final_cost,initial_l1_penalty,final_l1_penalty,initial_l2_penalty,final_l2_penalty,experiment_dir
noise,1,12345,NA,NA,NA,False,False,False,True,21,85,0.4034486040609044,0.9902481781172564,0.4035041734984047,0.9964553871842117,0.2741411686503788,0.8675863428407774,0.10711328939921672,0.10240011024261815,0.022194146011308855,0.020261725033860863,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12345
noise,2,12346,NA,NA,NA,False,False,False,False,40,54,0.36095791477723904,0.9927105748764949,0.36115881848384523,0.9965792134732484,0.21640630847544842,0.8824692725220348,0.1186652151107241,0.09399558366863342,0.025886391191066515,0.016245718685826794,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12346
noise,3,12347,NA,NA,NA,False,False,False,False,40,113,0.3446226392279577,0.9723084683851769,0.3429566408759901,0.9835267089344291,0.20976682062654828,0.8542414067034607,0.11171390300469068,0.09908099524656888,0.023141915596718743,0.018986066435147282,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12347
noise,4,12348,NA,NA,NA,False,False,False,False,40,88,0.7833187725298864,0.9899146726538023,0.7826454808878003,0.9924508161439896,0.6709319835758798,0.8968825155475084,0.09606397361105432,0.08099685701661093,0.01632281534295226,0.012035300089682953,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12348
noise,5,12349,NA,NA,NA,False,False,False,False,40,51,0.4663943733262913,0.9852124715916797,0.4659710196385179,0.9908649794043867,0.33012289325028504,0.8694904292939527,0.11234919469878668,0.09609425375775446,0.023922285377219583,0.019627788539972456,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12349
noise,6,12350,NA,NA,NA,False,False,False,False,40,55,0.5174179942625052,0.9977238575751325,0.5182208710210733,0.9990455158988708,0.38501082181658075,0.9104679020318814,0.10958480403611688,0.07680954612042071,0.022822368409807604,0.010446409422830354,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12350
noise,7,12351,NA,NA,NA,False,False,False,False,40,70,0.622842164242862,0.9960821530343483,0.6206433926064565,0.9973939672728549,0.483699095790845,0.8905998940795397,0.11398600093273137,0.08914364018504327,0.02515706751928561,0.016338618769765376,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12351
noise,8,12352,NA,NA,NA,False,False,False,False,40,67,0.6252106468529144,0.993545591051346,0.623785807028137,0.9981423580079922,0.49587976044630794,0.8738696860093932,0.10743464961028,0.10024439413253544,0.021896236796326445,0.019431510909417332,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12352
noise,9,12353,NA,NA,NA,False,False,False,False,40,74,0.4093983641305102,0.9963822496091855,0.40449794030544095,0.9977860569527206,0.26599303201680935,0.8901808142875272,0.11726370440086345,0.08960311685663229,0.0261416277128374,0.01659831846502606,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12353
noise,10,12354,NA,NA,NA,False,False,False,False,40,89,0.5391754311766886,0.9951448552941785,0.5369604353538409,0.9958419576449069,0.4059502347461791,0.9115089396485049,0.1105697959500911,0.073197687840921,0.02265540048041846,0.010438227804752606,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/noise_seed_12354
random,11,12355,NA,NA,NA,False,False,False,False,40,55,0.6607024862472065,0.9892950459598404,0.6719237979076667,0.9941827085776502,0.2927524139109758,0.8267581517245552,0.2577455882190751,0.13340942485057167,0.11020448411715562,0.029127469384713514,/Users/kun/Documents/GRAPE VERGE/experiments/outputs/spin_boson_perturbative_sweep_20260622_180436/random_seed_12355
