category,metric,scale,value,available,notes
W,unitarity_fro_mean,,8.217931613868866e-15,True,nominal expm W^dagger W - I
W,unitarity_fro_max,,2.2073218646063332e-14,True,nominal expm W^dagger W - I
dW,sample_count,,4,True,sampled gradient coordinates
dW,norm_first_minus_fd,,1.0377722240175305e-07,True,
dW,norm_frechet_minus_fd,,1.0793714163923685e-09,True,
dW,norm_first_minus_frechet,,1.0332197148737708e-07,True,
dW,relative_first_minus_fd,,1.0377722240175305e-07,True,
dW,relative_frechet_minus_fd,,1.0793714163923685e-09,True,
V,relative_fro_mean,,0.029428999679649466,True,
V,relative_fro_median,,0.028489483479878917,True,
V,relative_fro_max,,0.070336057714823,True,
V,relative_spectral_mean,,0.03549865937310868,True,
V,relative_spectral_max,,0.07541675845363964,True,
V,fidelity_leading,,0.9902481781172563,True,
V,fidelity_frechet,,0.9903219609844487,True,
V,fidelity_leading_minus_frechet,,-7.378286719239568e-05,True,
truncation,perturbative_fidelity,0.25,0.9960674366175303,True,
truncation,sigma_rms_spectral,0.25,3457.643516598394,True,
truncation,sigma_mean_spectral,0.25,3303.148362391849,True,
truncation,sigma_max_spectral,0.25,4964.431598987087,True,
truncation,total_time,0.25,0.0002258,True,
truncation,sigmaT_squared_estimate,0.25,0.6095485549924625,True,(sigma_rms_spectral * total_time)^2
truncation,perturbative_fidelity,0.5,0.994903584917476,True,
truncation,sigma_rms_spectral,0.5,6915.287033196788,True,
truncation,sigma_mean_spectral,0.5,6606.296724783698,True,
truncation,sigma_max_spectral,0.5,9928.863197974175,True,
truncation,total_time,0.5,0.0002258,True,
truncation,sigmaT_squared_estimate,0.5,2.43819421996985,True,(sigma_rms_spectral * total_time)^2
truncation,perturbative_fidelity,1.0,0.9902481781172563,True,
truncation,sigma_rms_spectral,1.0,13830.574066393576,True,
truncation,sigma_mean_spectral,1.0,13212.593449567396,True,
truncation,sigma_max_spectral,1.0,19857.72639594835,True,
truncation,total_time,1.0,0.0002258,True,
truncation,sigmaT_squared_estimate,1.0,9.7527768798794,True,(sigma_rms_spectral * total_time)^2
