step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,9.6123519019820382e-08,0.096123519019820386,176173.77499005443,0,28.03892713282649,0
1,2.8837055705946117e-07,0.28837055705946119,176162.63865583763,123124.9039067112,28.037154730187961,19.595937074467706
2,4.8061759509910188e-07,0.4806175950991019,175885.71304307232,202567.2864839778,27.993080650047609,32.239584952637152
3,6.728646331387427e-07,0.67286463313874267,175871.86265156188,248012.58496093919,27.990876291774967,39.472428845532136
4,8.6511167117838341e-07,0.86511167117838339,175861.34562705728,285454.5819403471,27.98920245533844,45.431507744036722
5,1.0573587092180242e-06,1.0573587092180243,175857.96529195123,324464.38889655255,27.988664458297006,51.64011135017742
6,1.2496057472576649e-06,1.2496057472576649,175854.42364772205,364871.69944802113,27.988100788111261,58.071134561492947
7,1.4418527852973057e-06,1.4418527852973058,175849.97074547125,405321.73744352802,27.98739208670694,64.508958056732851
8,1.6340998233369466e-06,1.6340998233369466,175846.964070004,445167.82917938352,27.986913559444055,70.850660519387375
9,1.8263468613765873e-06,1.8263468613765872,175846.94356099822,484313.02558753022,27.986910295334404,77.080812026047028
10,2.0185938994162282e-06,2.0185938994162282,175843.57632818009,522806.71667257597,27.98637438358686,83.20727324008449
11,2.2108409374558687e-06,2.2108409374558686,175842.00799189115,560655.94540245668,27.986124775114043,89.231165084660788
12,2.4030879754955096e-06,2.4030879754955095,175837.90961226163,597833.27215740259,27.985472497737337,95.148120408653
13,2.5953350135351501e-06,2.5953350135351503,175835.66777571593,634308.39328518219,27.985115698369487,100.95331623601474
14,2.7875820515747911e-06,2.7875820515747911,175822.88257739376,670061.81601832609,27.983080870858103,106.64365019644875
15,2.979829089614432e-06,2.9798290896144319,175809.02852917064,705086.02805936208,27.98087593060156,112.2179266706783
16,3.1720761276540725e-06,3.1720761276540723,175614.05485007836,739375.03928894585,27.949844905801211,117.67519230160006
17,3.3643231656937134e-06,3.3643231656937136,174726.59784043615,772923.30241968029,27.808601735935103,123.01456421100404
18,3.5565702037333543e-06,3.5565702037333544,174144.91234713182,805730.31910568778,27.716023614350867,128.23596308468044
19,3.7488172417729948e-06,3.7488172417729948,173794.23968469005,837799.81638726138,27.660212326716067,133.33998209951497
20,3.9410642798126358e-06,3.9410642798126356,173451.1250729601,869139.89707262628,27.605603940212188,138.32791085748963
21,4.1333113178522763e-06,4.133311317852276,173096.80285436488,899763.59764272626,27.549211807675473,143.20182417898712
22,4.3255583558919176e-06,4.3255583558919177,172795.11082727046,929688.85369854094,27.501196030271981,147.96457660356072
23,4.5178053939315581e-06,4.5178053939315577,172464.95919992143,958937.14734178293,27.44865076680955,152.61958711388593
24,4.7100524319711986e-06,4.7100524319711985,171889.43414718332,987532.72607565718,27.357053109793053,157.17071481995549
25,4.9022994700108391e-06,4.9022994700108393,170948.53198740672,1015502.5560720407,27.20730388009877,161.6222515213199
26,5.0945465080504804e-06,5.0945465080504801,169743.94809410331,1042877.3919256972,27.015588399110651,165.97909196375858
27,5.2867935460901209e-06,5.286793546090121,168436.41854855232,1069691.9351990703,26.807488608697511,170.24675907246743
28,5.4790405841297614e-06,5.4790405841297618,167142.1300626751,1095983.8911510846,26.601496198383227,174.43125382578489
29,5.6712876221694028e-06,5.6712876221694026,165936.34107176602,1121787.5941494564,26.409588920154256,178.53804070805091
30,5.8635346602090433e-06,5.8635346602090435,164872.92773983831,1147128.0579848937,26.240341431828142,182.57110078770219
31,6.0557816982486838e-06,6.0557816982486834,163972.54991469817,1172111.7451081644,26.097041850306759,186.54737809003205
32,6.2480287362883251e-06,6.2480287362883251,163213.25249831902,1197115.273739906,25.976195913213111,190.52681326651347
33,6.4402757743279656e-06,6.4402757743279659,162543.63614579267,1222136.2153772428,25.869623160733376,194.50901980890944
34,6.6325228123676061e-06,6.6325228123676059,161889.02258006128,1244177.4512302054,25.765438175932214,198.01699144676274
35,6.8247698504072475e-06,6.8247698504072476,161175.42399720164,1253692.2165861214,25.65186543408673,199.53131338551628
36,7.017016888446888e-06,7.0170168884468884,160442.64251341758,1254430.8175358921,25.535239638736286,199.64886537764468
37,7.2092639264865285e-06,7.2092639264865284,159849.23274388138,1255395.0538733583,25.440795540635577,199.80232835706124
38,7.4015109645261698e-06,7.4015109645261701,159376.24828679796,1255514.1561610573,25.365517726285113,199.8212840748821
39,7.5937580025658103e-06,7.59375800256581,158881.87098456579,1255538.6906466,25.286835134882427,199.82518885953243
40,7.7860050406054517e-06,7.7860050406054517,158328.91733633445,1255637.232812413,25.198829828465712,199.84087233232455
41,7.9782520786450913e-06,7.9782520786450917,157432.16985006156,1255648.7255820902,25.05610803332015,199.84270146342848
42,8.1704991166847327e-06,8.1704991166847325,156261.86870374443,1255652.8339084235,24.869848820977669,199.84335532387229
43,8.362746154724374e-06,8.3627461547243733,155482.52894143903,1255684.1988441576,24.7458130454587,199.84834720843412
44,8.5549931927640137e-06,8.5549931927640142,154960.3315588384,1255793.7126079965,24.66270275074816,199.86577686528568
45,8.747240230803655e-06,8.747240230803655,154368.06913448678,1255792.1855490888,24.568441258305011,199.86553382631212
46,8.9394872688432964e-06,8.9394872688432958,153658.36121271367,1255821.1669987775,24.455487734403345,199.87014636728804
47,9.131734306882936e-06,9.1317343068829366,152343.87011248965,1255846.3057591957,24.246279978152387,199.87414732527179
48,9.3239813449225774e-06,9.3239813449225775,150644.91861643415,1255848.1948870867,23.975883449481785,199.87444798931381
49,9.516228382962217e-06,9.5162283829622165,149777.33067673372,1255898.1799940576,23.837802540311547,199.8824033661692
50,9.7084754210018584e-06,9.7084754210018591,149437.74152416163,1255902.8974255556,23.783755248059311,199.8831541687108
51,9.9007224590414997e-06,9.9007224590414999,149109.22718752365,1255932.8003097964,23.731470567506822,199.88791336055041
52,1.0092969497081139e-05,10.092969497081139,148496.79194645284,1255982.9305404518,23.633998471566727,199.89589183455755
53,1.0285216535120781e-05,10.285216535120782,147542.04033173952,1256005.3873233404,23.482045032660132,199.89946594256023
54,1.0477463573160422e-05,10.477463573160422,146839.73084293297,1256028.6082830261,23.370269005936226,199.90316167307753
55,1.0669710611200062e-05,10.669710611200061,146237.58050465788,1256031.0796853793,23.27443380311529,199.90355500897843
56,1.0861957649239703e-05,10.861957649239702,145607.24696984474,1256036.0251610009,23.174113105253191,199.90434210586955
57,1.1054204687279344e-05,11.054204687279345,144932.86321825895,1256060.7081413318,23.066781597647456,199.90827052419945
58,1.1246451725318984e-05,11.246451725318984,144512.02745438783,1256073.6838608272,22.999803505597516,199.91033567409733
59,1.1438698763358625e-05,11.438698763358625,144074.29722137802,1256085.9130298817,22.930136575273234,199.91228200680223
60,1.1630945801398267e-05,11.630945801398267,143363.63299298799,1256106.0922966201,22.817030850446375,199.91549363685164
61,1.1823192839437906e-05,11.823192839437906,142794.19474907883,1256115.8270349852,22.726401939142661,199.91704296858214
62,1.2015439877477548e-05,12.015439877477547,142431.10513099068,1256191.2279541045,22.668614431638584,199.92904339757365
63,1.2207686915517189e-05,12.20768691551719,142126.8162597809,1256202.5122468211,22.620185353657696,199.93083934853877
64,1.2399933953556829e-05,12.399933953556829,141843.88576984909,1256205.2511146518,22.575155567633637,199.9312752528925
65,1.259218099159647e-05,12.59218099159647,141562.12403016171,1256204.5445144323,22.530311793988218,199.93116279397481
66,1.2784428029636111e-05,12.784428029636111,141284.00002091582,1256206.7469446862,22.486046983124197,199.93151332163652
67,1.2976675067675751e-05,12.976675067675751,140837.86430592154,1256204.6943587717,22.415042278793024,199.9311866424421
68,1.3168922105715392e-05,13.168922105715392,140054.92259218419,1256245.4563170057,22.290433234898885,199.93767410958515
69,1.3361169143755034e-05,13.361169143755033,139069.16160336265,1256243.7047835814,22.133544500820779,199.93739534438268
70,1.3553416181794673e-05,13.553416181794674,138105.87623559445,1256242.051461088,21.980232872932376,199.93713220993533
71,1.3745663219834315e-05,13.745663219834315,137340.93014608166,1256243.8368587077,21.858487921587603,199.93741636479189
72,1.3937910257873956e-05,13.937910257873956,136761.79839720746,1256254.062957766,21.766316241052817,199.93904389900558
73,1.4130157295913596e-05,14.130157295913596,136198.38251497148,1256263.4308326603,21.676645818378482,199.94053484260127
