step_index,time_s,time_us,alpha1_rad_s,alpha2_rad_s,alpha1_khz,alpha2_khz
0,9.6123519019820382e-08,0.096123519019820386,178296.1342948128,0,28.376711107195863,0
1,2.8837055705946117e-07,0.28837055705946119,178296.00075338763,127642.77983316954,28.37668985341794,20.314979360439427
2,4.8061759509910188e-07,0.4806175950991019,178280.3331553009,203459.45869669062,28.374196277736061,32.381578570379631
3,6.728646331387427e-07,0.67286463313874267,178278.55505122888,246897.28577084071,28.373913283683663,39.294923466401578
4,8.6511167117838341e-07,0.86511167117838339,178275.11588322092,284498.40767342586,28.373365923095076,45.279327882998935
5,1.0573587092180242e-06,1.0573587092180243,178270.02616883878,323465.65903251636,28.372555869892231,51.481158555502567
6,1.2496057472576649e-06,1.2496057472576649,178240.10828442444,363515.70502823708,28.367794290700836,57.855321346779292
7,1.4418527852973057e-06,1.4418527852973058,178196.77688240301,403520.65031688509,28.360897883878025,64.222306137588447
8,1.6340998233369466e-06,1.6340998233369466,178129.27471463828,442902.19334907539,28.350154580208848,70.49007337774772
9,1.8263468613765873e-06,1.8263468613765872,178052.29177203213,481595.14671549987,28.337902364359319,76.648248168838379
10,2.0185938994162282e-06,2.0185938994162282,177993.94127755714,519646.73211613263,28.328615594731769,82.704346077832483
11,2.2108409374558687e-06,2.2108409374558686,177790.90262375204,557054.45340248442,28.296300989339965,88.657969830359278
12,2.4030879754955096e-06,2.4030879754955095,177739.47492518724,593789.54524232412,28.288116016901537,94.504541281604517
13,2.5953350135351501e-06,2.5953350135351503,177725.86125280996,629822.17404712981,28.285949333649057,100.23931226848475
14,2.7875820515747911e-06,2.7875820515747911,177676.05740731821,665132.85284531943,28.278022805454061,105.85918134314682
15,2.979829089614432e-06,2.9798290896144319,177668.2552283431,699715.72524522746,28.276781050103285,111.36321643190846
16,3.1720761276540725e-06,3.1720761276540723,177223.88025841652,733565.72793794877,28.206056577053157,116.75061168412903
17,3.3643231656937134e-06,3.3643231656937136,176405.74806901772,766678.03933543712,28.075846795007742,122.0205997202374
18,3.5565702037333543e-06,3.5565702037333544,176053.77146092278,799051.40236531734,28.019827977976714,127.17298047095126
19,3.7488172417729948e-06,3.7488172417729948,175889.01087745067,830689.36909290205,27.993605516690423,132.20831926502328
20,3.9410642798126358e-06,3.9410642798126356,175724.73639805859,861600.2602882185,27.967460421271326,137.12794039413365
21,4.1333113178522763e-06,4.133311317852276,175544.31398832446,891797.35337853245,27.938745302917589,141.93395702646322
22,4.3255583558919176e-06,4.3255583558919177,175437.75118613846,921298.79552362184,27.921785306199961,146.62925737219376
23,4.5178053939315581e-06,4.5178053939315577,175319.96535579572,950126.27999376738,27.903039109074733,151.21729402252228
24,4.7100524319711986e-06,4.7100524319711985,174956.44551430122,978304.98882539221,27.8451831293889,155.70207482302263
25,4.9022994700108391e-06,4.9022994700108393,174210.56173233016,1005862.8766631689,27.726472038516128,160.0880488935768
26,5.0945465080504804e-06,5.0945465080504801,173212.65938236509,1032831.4946228107,27.567650946796171,164.38023775021065
27,5.2867935460901209e-06,5.286793546090121,172120.05075447669,1059245.8062733491,27.393756882802876,168.58420601776368
28,5.4790405841297614e-06,5.4790405841297618,171044.96208729397,1085143.4888744338,27.22265120715867,172.70595021835129
29,5.6712876221694028e-06,5.6712876221694026,170058.99701383349,1110562.435324521,27.065729992001472,176.75150119407087
30,5.8635346602090433e-06,5.8635346602090435,169218.40843174708,1135532.3592919316,26.931946164055812,180.72558802211304
31,6.0557816982486838e-06,6.0557816982486834,168544.82325594214,1160115.7863708646,26.824741753733033,184.63816195986439
32,6.2480287362883251e-06,6.2480287362883251,168013.853899415,1184610.2425790662,26.740235356011414,188.53657574374762
33,6.4402757743279656e-06,6.4402757743279659,167574.56161515438,1209186.5257133152,26.670319817509206,192.44801268738934
34,6.6325228123676061e-06,6.6325228123676059,167157.35382718602,1231386.6525850184,26.603919135757607,195.98127261628812
35,6.8247698504072475e-06,6.8247698504072476,166678.21158660535,1245091.592171656,26.527661279725066,198.16248149627728
36,7.017016888446888e-06,7.0170168884468884,166151.65951075763,1247975.7040791092,26.443857914058604,198.62150216277865
37,7.2092639264865285e-06,7.2092639264865284,165783.52681147325,1248219.6305777435,26.38526777525373,198.66032427078741
38,7.4015109645261698e-06,7.4015109645261701,165557.86051342441,1249913.1724869579,26.349351868430013,198.92985983697216
39,7.5937580025658103e-06,7.59375800256581,165241.3841065118,1251426.7342806107,26.298983083897909,199.17075067810703
40,7.7860050406054517e-06,7.7860050406054517,164941.96640563846,1252870.5814034985,26.251329276754706,199.40054608478366
41,7.9782520786450913e-06,7.9782520786450917,164291.43568650741,1253273.9381875126,26.147794097171872,199.46474231078915
42,8.1704991166847327e-06,8.1704991166847325,163203.77829532031,1253594.2653780822,25.974688046974009,199.51572396657502
43,8.362746154724374e-06,8.3627461547243733,162686.93184879754,1253915.6165620564,25.892429380190428,199.56686859597295
44,8.5549931927640137e-06,8.5549931927640142,162395.18681677594,1254097.5496118087,25.845996716221688,199.59582414015281
45,8.747240230803655e-06,8.747240230803655,161920.59063926054,1254311.8860211961,25.770462388597593,199.6299368391914
46,8.9394872688432964e-06,8.9394872688432958,161474.15262244822,1254829.9345175533,25.699409571437773,199.71238681814796
47,9.131734306882936e-06,9.1317343068829366,160399.42073383337,1255195.6045805081,25.528360678866228,199.77058501620795
48,9.3239813449225774e-06,9.3239813449225775,158644.56598105829,1255751.40114833,25.249066870553769,199.85904278733031
49,9.516228382962217e-06,9.5162283829622165,158099.24738629602,1256010.7315042175,25.162276720637429,199.9003164953636
50,9.7084754210018584e-06,9.7084754210018591,157916.26191250607,1256080.1208160184,25.133153677969744,199.91136014733445
51,9.9007224590414997e-06,9.9007224590414999,157732.97054444067,1256090.0185893509,25.103981950716062,199.91293542688592
52,1.0092969497081139e-05,10.092969497081139,157345.00681030477,1256115.7967747035,25.042235604687942,199.91703815250872
53,1.0285216535120781e-05,10.285216535120782,156390.41654608498,1256175.6143755754,24.890307845509962,199.92655841937139
54,1.0477463573160422e-05,10.477463573160422,155934.42033213115,1256223.5512677217,24.817733794028022,199.93418781271293
55,1.0669710611200062e-05,10.669710611200061,155426.23271070144,1256228.6984820047,24.736853222059374,199.93500701730923
56,1.0861957649239703e-05,10.861957649239702,154976.06873825417,1256258.0558525226,24.665207400642505,199.93967938794333
57,1.1054204687279344e-05,11.054204687279345,154337.19813434771,1256258.4805954529,24.563527986034686,199.93974698788023
58,1.1246451725318984e-05,11.246451725318984,154080.76699817527,1256286.1981918048,24.522715703150173,199.94415838035027
59,1.1438698763358625e-05,11.438698763358625,153808.33936371779,1256299.5043394319,24.479357498491435,199.94627611951861
60,1.1630945801398267e-05,11.630945801398267,153109.79825096455,1256304.7545139105,24.368181227443841,199.94711171073899
61,1.1823192839437906e-05,11.823192839437906,152666.86522568465,1256305.8438231801,24.297686247011899,199.94728507969378
62,1.2015439877477548e-05,12.015439877477547,152410.09866312754,1256332.422963555,24.25682057936022,199.9515152812676
63,1.2207686915517189e-05,12.20768691551719,152178.04557463646,1256343.2842411001,24.219888183267123,199.9532439072772
64,1.2399933953556829e-05,12.399933953556829,151981.31830156874,1256355.2269266078,24.188578065317405,199.95514464470952
65,1.259218099159647e-05,12.59218099159647,151751.87667085353,1256358.8292774004,24.152061295638013,199.95571797664493
66,1.2784428029636111e-05,12.784428029636111,151549.37547105289,1256375.0325445631,24.119832228707704,199.95829680670809
67,1.2976675067675751e-05,12.976675067675751,151183.85317199948,1256373.2965130066,24.061657548003041,199.95802050870452
68,1.3168922105715392e-05,13.168922105715392,150431.49449707888,1256376.3841406149,23.941915945911358,199.95851191990081
69,1.3361169143755034e-05,13.361169143755033,149487.16592680552,1256377.3589525307,23.791621386049449,199.95866706603579
70,1.3553416181794673e-05,13.553416181794674,148551.99482550751,1256381.8104713052,23.64278428264118,199.95937554725302
71,1.3745663219834315e-05,13.745663219834315,147816.77593793036,1256380.7481820979,23.525770562428754,199.9592064786747
72,1.3937910257873956e-05,13.937910257873956,147284.33904854138,1256393.0763892294,23.441030599598026,199.96116857377913
73,1.4130157295913596e-05,14.130157295913596,146731.67815985059,1256394.2608355582,23.353071887309326,199.96135708426718
74,1.4322404333953237e-05,14.322404333953237,146149.95095333469,1256400.9010832675,23.260487126861278,199.96241391251348
75,1.4514651371992878e-05,14.514651371992878,145586.18524524444,1256399.5385136595,23.170761027673013,199.96219705282505
76,1.4706898410032518e-05,14.706898410032519,145110.27260272656,1256398.7788265932,23.095017178136366,199.96207614487327
77,1.4899145448072159e-05,14.89914544807216,144663.51538381359,1256399.2727258897,23.023913558384379,199.96215475138769
78,1.5091392486111801e-05,15.091392486111801,144207.75482402646,1256398.2017665084,22.95137701242793,199.96198430290829
79,1.5283639524151442e-05,15.283639524151441,143760.62937031483,1256398.0130607211,22.880214786287517,199.96195426944945
80,1.5475886562191082e-05,15.475886562191082,143252.55377100254,1256399.0879543088,22.799352043192588,199.96212534407724
81,1.5668133600230721e-05,15.668133600230721,142646.52357312501,1256404.5988831948,22.702899341537421,199.96300243565048
82,1.5860380638270365e-05,15.860380638270364,142087.93066918955,1256404.3877821954,22.613996519700034,199.96296883788293
83,1.6052627676310004e-05,16.052627676310003,141553.79486502666,1256404.9194285758,22.528986166185145,199.96305345203234
84,1.6244874714349644e-05,16.244874714349645,141026.50162724359,1256405.850438664,22.445064840933039,199.96320162688994
85,1.6437121752389287e-05,16.437121752389288,140524.48465816083,1256408.3499463152,22.365166358787508,199.96359943588794
86,1.6629368790428927e-05,16.629368790428927,140017.65286779456,1256409.8542799829,22.2845015740346,199.9638388580272
87,1.6821615828468566e-05,16.821615828468566,139482.22652939058,1256410.7832508278,22.199285825616013,199.96398670832917
88,1.7013862866508209e-05,17.013862866508209,138978.81975504028,1256413.2164736879,22.119166149092219,199.964373967775
89,1.7206109904547849e-05,17.206109904547848,138444.59028947027,1256415.3232773566,22.034140888901408,199.96470927599299
90,1.7398356942587489e-05,17.398356942587487,137705.64230359768,1256415.5986031322,21.916533664261987,199.96475309545113
91,1.7590603980627132e-05,17.590603980627133,136791.79032691917,1256415.1965916168,21.771089604919304,199.9646891133313
92,1.7782851018666771e-05,17.782851018666772,136016.71899990662,1256414.7139858413,21.647733171976459,199.96461230423654
93,1.7975098056706411e-05,17.975098056706411,135405.3393609621,1256413.4248514031,21.550429080332702,199.9644071321184
94,1.8167345094746054e-05,18.167345094746054,134809.80991643155,1256412.7502543454,21.455647625478893,199.96429976666207
95,1.8359592132785694e-05,18.359592132785693,134223.42348726594,1256412.0604335503,21.362321326715183,199.96418997827269
96,1.8551839170825333e-05,18.551839170825332,133649.54534287655,1256412.1128225634,21.270985783303203,199.96419831624308
97,1.8744086208864973e-05,18.744086208864974,133093.48964685373,1256414.253355131,21.182486770646769,199.96453899258208
98,1.8936333246904616e-05,18.936333246904617,132551.85586234819,1256414.0159783561,21.096283076497141,199.96450121289496
99,1.9128580284944256e-05,19.128580284944256,132000.51853666088,1256413.01555168,21.008535015802941,199.96434199004426
100,1.9320827322983895e-05,19.320827322983895,131440.98102660768,1256412.1091126336,20.919481855232643,199.9641977257894
101,1.9513074361023538e-05,19.513074361023538,130869.33509992561,1256411.2126854355,20.828501580302841,199.96405505496972
102,1.9705321399063178e-05,19.705321399063177,130276.7810401801,1256408.8787688282,20.734193672645176,199.9636836006049
103,1.9897568437102818e-05,19.897568437102816,129724.71068553097,1256404.277259151,20.646328946768271,199.96295124759408
104,2.0089815475142461e-05,20.089815475142462,129145.91430950034,1256401.2094352425,20.554210642479319,199.96246298825452
105,2.02820625131821e-05,20.282062513182101,128365.73533260412,1256396.1995405061,20.430041301809908,199.96166563874286
106,2.047430955122174e-05,20.47430955122174,127438.30366609729,1256389.2883642123,20.282435967705393,199.9605656908731
107,2.0666556589261383e-05,20.666556589261383,126640.8566406577,1256388.0490820729,20.155518331752756,199.96036845299474
108,2.0858803627301023e-05,20.858803627301022,125982.07798787123,1256388.2933762232,20.050670452758368,199.96040733361633
109,2.1051050665340662e-05,21.051050665340661,125208.56118357235,1256388.9129981343,19.927561429789556,199.96050594950631
110,2.1243297703380305e-05,21.243297703380307,124267.78689167889,1256356.9489042051,19.777832550900932,199.95541870595605
111,2.1435544741419945e-05,21.435544741419946,123481.77979808504,1256348.8569935057,19.652735636650178,199.95413083836917
112,2.1627791779459585e-05,21.627791779459585,122811.95434735059,1256344.028599178,19.546129605157034,199.95336237554471
113,2.1820038817499228e-05,21.820038817499228,122194.92326171159,1256337.4849679749,19.447926057836227,199.95232092429299
114,2.2012285855538867e-05,22.012285855538867,121303.44945602115,1256331.1093202359,19.306043595023649,199.95130620843992
115,2.2204532893578507e-05,22.204532893578506,119560.55208177418,1256328.3876502421,19.028652862610361,199.95087304120693
116,2.239677993161815e-05,22.396779931618148,117432.57372531698,1256329.5045578103,18.689974588387628,199.95105080256738
117,2.258902696965779e-05,22.589026969657791,116069.37365327678,1256329.1869936441,18.473014558499205,199.95100026066058
118,2.2781274007697429e-05,22.78127400769743,115376.90981925736,1256327.1770979827,18.362805516402648,199.95068037583098
