step,close_fidelity,open_fidelity,raw_fidelity,l1_penalty,l2_penalty,cost_function,gradient_norm
0,0.99891007583149927,0.99890870408730859,0.99890870408730859,0.0026084238824509113,1.8997902009518107e-06,0.99629838041465668,0.0092353128902185003
1,0.99891014510933718,0.9989087733660007,0.9989087733660007,0.0026084303631822704,1.899782890449315e-06,0.996298443219928,0.0084412105667487289
2,0.99891020947537557,0.99890883773273842,0.99890883773273842,0.00260840381928179,1.8997805311903976e-06,0.99629853413292546,0.008618494291386284
3,0.99891038741988303,0.99890901567916368,0.99890901567916368,0.0026084213370223402,1.8997766177271898e-06,0.99629869456552367,0.0092896308909912757
4,0.99891073603379033,0.99890936429681054,0.99890936429681054,0.0026085325111871189,1.899744925829925e-06,0.99629893204069764,0.010014679301083776
5,0.99891165768251622,0.99891028595541909,0.99891028595541909,0.0026089251052143158,1.8996544202594308e-06,0.9962994611957845,0.010548460230929427
6,0.99891446154159991,0.99891308984456695,0.99891308984456695,0.0026103219746244823,1.8994251404609142e-06,0.99630086844480203,0.010450061309511659
7,0.99892920959602716,0.99892783805924235,0.99892783805924235,0.0026180668904402403,1.8996818227279049e-06,0.99630787148697941,0.010733080871904077
8,0.9990196215367213,0.99901825124615151,0.99901825124615151,0.0026609140817553411,1.9576903897498661e-06,0.99635537947400643,0.0096004530618625343
9,0.99911980803935052,0.99911843958327151,0.99911843958327151,0.0027041159774642753,2.1089251461967727e-06,0.99641221468066099,0.010558203018671648
10,0.99924051604372788,0.99923915084117132,0.99923915084117132,0.0027563504735660092,2.5500633956506982e-06,0.99648025030420961,0.011539802305560443
11,0.99929124589207319,0.99928988268374053,0.99928988268374053,0.0027847418335708927,2.9092970307418978e-06,0.99650223155313888,0.012036067755278121
12,0.99930103150631333,0.99929966791632252,0.99929966791632252,0.0027694649821843253,2.837029549238763e-06,0.9965273659045889,0.012118624290223135
13,0.99931547008535304,0.99931410500870632,0.99931410500870632,0.0027513115170078261,2.6104215319537141e-06,0.99656018307016658,0.012991185711371459
14,0.9993367136192135,0.9993353470532963,0.9993353470532963,0.0027413530779058842,2.4487523515397855e-06,0.99659154522303883,0.013708039935939229
15,0.99938085461820714,0.9993794865441411,0.9993794865441411,0.0027474108473292437,2.3902303696941875e-06,0.99662968546644215,0.014185037631767186
16,0.99943906242687963,0.99943769350277112,0.99943769350277112,0.0027534727030072547,2.4434607971149762e-06,0.99668177733896679,0.013388979632841976
17,0.99949195324645268,0.99949058322891182,0.99949058322891182,0.002755499903093944,2.468870937670824e-06,0.99673261445488026,0.013567172113383777
18,0.99956514337238711,0.99956377057960244,0.99956377057960244,0.0027620720191277618,2.4597059438708524e-06,0.99679923885453081,0.013806121425297005
19,0.99968310948767114,0.9996817299354932,0.9996817299354932,0.0027938474908099061,2.470201573181776e-06,0.99688541224311011,0.014475172332244605
20,0.99979746689111471,0.99979607878925458,0.99979607878925458,0.0028192602981394772,2.5635431221305083e-06,0.99697425494799297,0.014783526132454147
21,0.99988298492857031,0.99988158818057893,0.99988158818057893,0.002833433623031375,2.6562058166575208e-06,0.99704549835173084,0.014638424581522003
22,0.99994184211512194,0.99994043679311662,0.99994043679311662,0.0028431168645850938,2.6874979810125961e-06,0.99709463243055052,0.014813978260369986
23,0.99996271513289181,0.9999613054462998,0.9999613054462998,0.0028351044790410579,2.5668471618152557e-06,0.99712363412009697,0.014655739846074642
24,0.99995992474653317,0.99995851564603078,0.99995851564603078,0.0028059156971961372,2.4124672573030022e-06,0.99715018748157735,0.014186801748353265
25,0.99995155195777485,0.99995014465645049,0.99995014465645049,0.0027789133194637376,2.2514399708993852e-06,0.99716897989701581,0.014129108590301859
26,0.99995651763067439,0.99995510924135378,0.99995510924135378,0.002766461783418806,2.1969083870184316e-06,0.99718645054954791,0.014465999203469136
27,0.99997090544961309,0.99996949356849596,0.99996949356849596,0.0027609871929998829,2.1713691133345134e-06,0.99720633500638278,0.01423346947926581
